iteration,candidate_group,exclude_candidates_from_null,null_statistic,observed_statistic,observed_minus_null_statistic
71,All candidates,TRUE,0.045,0.067,0.022000000000000006
72,All candidates,TRUE,0.044,0.067,0.023000000000000007
73,All candidates,TRUE,0.048,0.067,0.019000000000000003
74,All candidates,TRUE,0.0525,0.067,0.014500000000000006
75,All candidates,TRUE,0.045,0.067,0.022000000000000006
76,All candidates,TRUE,0.0435,0.067,0.023500000000000007
77,All candidates,TRUE,0.058249999999999996,0.067,0.008750000000000008
78,All candidates,TRUE,0.052500000000000005,0.067,0.014499999999999999
79,All candidates,TRUE,0.053,0.067,0.014000000000000005
80,All candidates,TRUE,0.042499999999999996,0.067,0.024500000000000008
81,All candidates,TRUE,0.047,0.067,0.020000000000000004
82,All candidates,TRUE,0.05375,0.067,0.013250000000000005
83,All candidates,TRUE,0.0595,0.067,0.007500000000000007
84,All candidates,TRUE,0.0545,0.067,0.012500000000000004
85,All candidates,TRUE,0.0505,0.067,0.0165
86,All candidates,TRUE,0.05675,0.067,0.010250000000000002
87,All candidates,TRUE,0.0535,0.067,0.013500000000000005
88,All candidates,TRUE,0.0485,0.067,0.018500000000000003
89,All candidates,TRUE,0.055249999999999994,0.067,0.01175000000000001
90,All candidates,TRUE,0.055499999999999994,0.067,0.01150000000000001
91,All candidates,TRUE,0.0545,0.067,0.012500000000000004
92,All candidates,TRUE,0.04775,0.067,0.019250000000000003
93,All candidates,TRUE,0.0495,0.067,0.0175
94,All candidates,TRUE,0.056,0.067,0.011000000000000003
95,All candidates,TRUE,0.052,0.067,0.015000000000000006
96,All candidates,TRUE,0.056,0.067,0.011000000000000003
97,All candidates,TRUE,0.047,0.067,0.020000000000000004
98,All candidates,TRUE,0.04675,0.067,0.020250000000000004
99,All candidates,TRUE,0.055499999999999994,0.067,0.01150000000000001
100,All candidates,TRUE,0.051000000000000004,0.067,0.016
101,All candidates,TRUE,0.051000000000000004,0.067,0.016
102,All candidates,TRUE,0.0525,0.067,0.014500000000000006
103,All candidates,TRUE,0.055749999999999994,0.067,0.01125000000000001
104,All candidates,TRUE,0.049,0.067,0.018000000000000002
105,All candidates,TRUE,0.051000000000000004,0.067,0.016
106,All candidates,TRUE,0.0535,0.067,0.013500000000000005
107,All candidates,TRUE,0.0475,0.067,0.019500000000000003
108,All candidates,TRUE,0.0475,0.067,0.019500000000000003
109,All candidates,TRUE,0.0505,0.067,0.0165
110,All candidates,TRUE,0.04975,0.067,0.01725
111,All candidates,TRUE,0.0475,0.067,0.019500000000000003
112,All candidates,TRUE,0.055,0.067,0.012000000000000004
113,All candidates,TRUE,0.06325,0.067,0.0037500000000000033
114,All candidates,TRUE,0.047,0.067,0.020000000000000004
115,All candidates,TRUE,0.046,0.067,0.021000000000000005
116,All candidates,TRUE,0.06325,0.067,0.0037500000000000033
117,All candidates,TRUE,0.0435,0.067,0.023500000000000007
118,All candidates,TRUE,0.052250000000000005,0.067,0.01475
119,All candidates,TRUE,0.053000000000000005,0.067,0.013999999999999999
120,All candidates,TRUE,0.0625,0.067,0.004500000000000004
121,All candidates,TRUE,0.0525,0.067,0.014500000000000006
122,All candidates,TRUE,0.062,0.067,0.0050000000000000044
123,All candidates,TRUE,0.048,0.067,0.019000000000000003
124,All candidates,TRUE,0.0545,0.067,0.012500000000000004
125,All candidates,TRUE,0.0365,0.067,0.030500000000000006
126,All candidates,TRUE,0.06225,0.067,0.004750000000000004
127,All candidates,TRUE,0.052000000000000005,0.067,0.015
128,All candidates,TRUE,0.0455,0.067,0.021500000000000005
129,All candidates,TRUE,0.0545,0.067,0.012500000000000004
130,All candidates,TRUE,0.051000000000000004,0.067,0.016
131,All candidates,TRUE,0.054,0.067,0.013000000000000005
132,All candidates,TRUE,0.0525,0.067,0.014500000000000006
133,All candidates,TRUE,0.058499999999999996,0.067,0.008500000000000008
134,All candidates,TRUE,0.04525,0.067,0.021750000000000005
135,All candidates,TRUE,0.0565,0.067,0.010500000000000002
136,All candidates,TRUE,0.053000000000000005,0.067,0.013999999999999999
137,All candidates,TRUE,0.06,0.067,0.007000000000000006
138,All candidates,TRUE,0.051,0.067,0.016000000000000007
139,All candidates,TRUE,0.0475,0.067,0.019500000000000003
140,All candidates,TRUE,0.049,0.067,0.018000000000000002
141,All candidates,TRUE,0.054,0.067,0.013000000000000005
142,All candidates,TRUE,0.053,0.067,0.014000000000000005
143,All candidates,TRUE,0.0505,0.067,0.0165
144,All candidates,TRUE,0.057,0.067,0.010000000000000002
145,All candidates,TRUE,0.0415,0.067,0.025500000000000002
146,All candidates,TRUE,0.05575,0.067,0.011250000000000003
147,All candidates,TRUE,0.0435,0.067,0.023500000000000007
148,All candidates,TRUE,0.0565,0.067,0.010500000000000002
149,All candidates,TRUE,0.0445,0.067,0.022500000000000006
150,All candidates,TRUE,0.0505,0.067,0.0165
151,All candidates,TRUE,0.056,0.067,0.011000000000000003
152,All candidates,TRUE,0.052250000000000005,0.067,0.01475
153,All candidates,TRUE,0.055499999999999994,0.067,0.01150000000000001
154,All candidates,TRUE,0.048,0.067,0.019000000000000003
155,All candidates,TRUE,0.049,0.067,0.018000000000000002
156,All candidates,TRUE,0.0445,0.067,0.022500000000000006
157,All candidates,TRUE,0.04475,0.067,0.022250000000000006
158,All candidates,TRUE,0.05,0.067,0.017
159,All candidates,TRUE,0.0525,0.067,0.014500000000000006
160,All candidates,TRUE,0.046,0.067,0.021000000000000005
161,All candidates,TRUE,0.0525,0.067,0.014500000000000006
162,All candidates,TRUE,0.047,0.067,0.020000000000000004
163,All candidates,TRUE,0.052,0.067,0.015000000000000006
164,All candidates,TRUE,0.046,0.067,0.021000000000000005
165,All candidates,TRUE,0.051000000000000004,0.067,0.016
166,All candidates,TRUE,0.046,0.067,0.021000000000000005
167,All candidates,TRUE,0.0485,0.067,0.018500000000000003
168,All candidates,TRUE,0.051,0.067,0.016000000000000007
169,All candidates,TRUE,0.052750000000000005,0.067,0.014249999999999999
170,All candidates,TRUE,0.05450000000000001,0.067,0.012499999999999997
171,All candidates,TRUE,0.041999999999999996,0.067,0.02500000000000001
172,All candidates,TRUE,0.0445,0.067,0.022500000000000006
173,All candidates,TRUE,0.047,0.067,0.020000000000000004
174,All candidates,TRUE,0.055249999999999994,0.067,0.01175000000000001
175,All candidates,TRUE,0.0495,0.067,0.0175
176,All candidates,TRUE,0.0555,0.067,0.011500000000000003
177,All candidates,TRUE,0.055249999999999994,0.067,0.01175000000000001
178,All candidates,TRUE,0.058499999999999996,0.067,0.008500000000000008
179,All candidates,TRUE,0.057999999999999996,0.067,0.009000000000000008
180,All candidates,TRUE,0.064,0.067,0.0030000000000000027
181,All candidates,TRUE,0.057999999999999996,0.067,0.009000000000000008
182,All candidates,TRUE,0.049,0.067,0.018000000000000002
183,All candidates,TRUE,0.0455,0.067,0.021500000000000005
184,All candidates,TRUE,0.0505,0.067,0.0165
185,All candidates,TRUE,0.063,0.067,0.0040000000000000036
186,All candidates,TRUE,0.0575,0.067,0.0095000000000000015
187,All candidates,TRUE,0.0475,0.067,0.019500000000000003
188,All candidates,TRUE,0.0475,0.067,0.019500000000000003
189,All candidates,TRUE,0.056749999999999995,0.067,0.010250000000000009
190,All candidates,TRUE,0.0485,0.067,0.018500000000000003
191,All candidates,TRUE,0.06275,0.067,0.004250000000000004
192,All candidates,TRUE,0.057749999999999996,0.067,0.009250000000000008
193,All candidates,TRUE,0.05875,0.067,0.008250000000000007
194,All candidates,TRUE,0.047,0.067,0.020000000000000004
195,All candidates,TRUE,0.055499999999999994,0.067,0.01150000000000001
196,All candidates,TRUE,0.0565,0.067,0.010500000000000002
197,All candidates,TRUE,0.042499999999999996,0.067,0.024500000000000008
198,All candidates,TRUE,0.0505,0.067,0.0165
199,All candidates,TRUE,0.051000000000000004,0.067,0.016
200,All candidates,TRUE,0.05675,0.067,0.010250000000000002
201,All candidates,TRUE,0.048,0.067,0.019000000000000003
202,All candidates,TRUE,0.049,0.067,0.018000000000000002
203,All candidates,TRUE,0.04,0.067,0.027000000000000003
204,All candidates,TRUE,0.0565,0.067,0.010500000000000002
205,All candidates,TRUE,0.0505,0.067,0.0165
206,All candidates,TRUE,0.047,0.067,0.020000000000000004
207,All candidates,TRUE,0.048,0.067,0.019000000000000003
208,All candidates,TRUE,0.05,0.067,0.017
209,All candidates,TRUE,0.05575,0.067,0.011250000000000003
210,All candidates,TRUE,0.05275,0.067,0.014250000000000006
211,All candidates,TRUE,0.0475,0.067,0.019500000000000003
212,All candidates,TRUE,0.047,0.067,0.020000000000000004
213,All candidates,TRUE,0.052,0.067,0.015000000000000006
214,All candidates,TRUE,0.052000000000000005,0.067,0.015
215,All candidates,TRUE,0.05425,0.067,0.012750000000000004
216,All candidates,TRUE,0.048,0.067,0.019000000000000003
217,All candidates,TRUE,0.043,0.067,0.024000000000000007
218,All candidates,TRUE,0.044,0.067,0.023000000000000007
219,All candidates,TRUE,0.05525,0.067,0.011750000000000003
220,All candidates,TRUE,0.0465,0.067,0.020500000000000004
221,All candidates,TRUE,0.042499999999999996,0.067,0.024500000000000008
222,All candidates,TRUE,0.057999999999999996,0.067,0.009000000000000008
223,All candidates,TRUE,0.053,0.067,0.014000000000000005
224,All candidates,TRUE,0.0475,0.067,0.019500000000000003
225,All candidates,TRUE,0.057,0.067,0.010000000000000002
226,All candidates,TRUE,0.051000000000000004,0.067,0.016
227,All candidates,TRUE,0.054,0.067,0.013000000000000005
228,All candidates,TRUE,0.056999999999999995,0.067,0.010000000000000009
229,All candidates,TRUE,0.055499999999999994,0.067,0.01150000000000001
230,All candidates,TRUE,0.059,0.067,0.008000000000000007
231,All candidates,TRUE,0.0465,0.067,0.020500000000000004
232,All candidates,TRUE,0.0565,0.067,0.010500000000000002
233,All candidates,TRUE,0.051500000000000004,0.067,0.0155
234,All candidates,TRUE,0.054,0.067,0.013000000000000005
235,All candidates,TRUE,0.0505,0.067,0.0165
236,All candidates,TRUE,0.0445,0.067,0.022500000000000006
237,All candidates,TRUE,0.057499999999999996,0.067,0.009500000000000008
238,All candidates,TRUE,0.0505,0.067,0.0165
239,All candidates,TRUE,0.0605,0.067,0.006500000000000006
240,All candidates,TRUE,0.0485,0.067,0.018500000000000003
241,All candidates,TRUE,0.048,0.067,0.019000000000000003
242,All candidates,TRUE,0.056,0.067,0.011000000000000003
243,All candidates,TRUE,0.0565,0.067,0.010500000000000002
244,All candidates,TRUE,0.046,0.067,0.021000000000000005
245,All candidates,TRUE,0.049375,0.067,0.017625000000000002
246,All candidates,TRUE,0.055999999999999994,0.067,0.01100000000000001
247,All candidates,TRUE,0.05,0.067,0.017
248,All candidates,TRUE,0.055749999999999994,0.067,0.01125000000000001
249,All candidates,TRUE,0.0465,0.067,0.020500000000000004
250,All candidates,TRUE,0.0485,0.067,0.018500000000000003
251,All candidates,TRUE,0.05725,0.067,0.009750000000000002
252,All candidates,TRUE,0.0455,0.067,0.021500000000000005
253,All candidates,TRUE,0.056,0.067,0.011000000000000003
254,All candidates,TRUE,0.05,0.067,0.017
255,All candidates,TRUE,0.062,0.067,0.0050000000000000044
256,All candidates,TRUE,0.0485,0.067,0.018500000000000003
257,All candidates,TRUE,0.0485,0.067,0.018500000000000003
258,All candidates,TRUE,0.0445,0.067,0.022500000000000006
259,All candidates,TRUE,0.04775,0.067,0.019250000000000003
260,All candidates,TRUE,0.044,0.067,0.023000000000000007
261,All candidates,TRUE,0.059,0.067,0.008000000000000007
262,All candidates,TRUE,0.0575,0.067,0.0095000000000000015
263,All candidates,TRUE,0.04625,0.067,0.020750000000000005
264,All candidates,TRUE,0.055,0.067,0.012000000000000004
265,All candidates,TRUE,0.043,0.067,0.024000000000000007
266,All candidates,TRUE,0.0495,0.067,0.0175
267,All candidates,TRUE,0.04825,0.067,0.018750000000000003
268,All candidates,TRUE,0.056,0.067,0.011000000000000003
269,All candidates,TRUE,0.0605,0.067,0.006500000000000006
270,All candidates,TRUE,0.0535,0.067,0.013500000000000005
271,All candidates,TRUE,0.057999999999999996,0.067,0.009000000000000008
272,All candidates,TRUE,0.0405,0.067,0.026500000000000003
273,All candidates,TRUE,0.0435,0.067,0.023500000000000007
274,All candidates,TRUE,0.05375,0.067,0.013250000000000005
275,All candidates,TRUE,0.0495,0.067,0.0175
276,All candidates,TRUE,0.051,0.067,0.016000000000000007
277,All candidates,TRUE,0.0485,0.067,0.018500000000000003
278,All candidates,TRUE,0.051500000000000004,0.067,0.0155
279,All candidates,TRUE,0.0505,0.067,0.0165
280,All candidates,TRUE,0.05375,0.067,0.013250000000000005
281,All candidates,TRUE,0.0555,0.067,0.011500000000000003
282,All candidates,TRUE,0.045,0.067,0.022000000000000006
283,All candidates,TRUE,0.039,0.067,0.028000000000000004
284,All candidates,TRUE,0.0505,0.067,0.0165
285,All candidates,TRUE,0.0535,0.067,0.013500000000000005
286,All candidates,TRUE,0.05925,0.067,0.007750000000000007
287,All candidates,TRUE,0.054,0.067,0.013000000000000005
288,All candidates,TRUE,0.049875,0.067,0.017125
289,All candidates,TRUE,0.05575,0.067,0.011250000000000003
290,All candidates,TRUE,0.0505,0.067,0.0165
291,All candidates,TRUE,0.05,0.067,0.017
292,All candidates,TRUE,0.0505,0.067,0.0165
293,All candidates,TRUE,0.0485,0.067,0.018500000000000003
294,All candidates,TRUE,0.0525,0.067,0.014500000000000006
295,All candidates,TRUE,0.039,0.067,0.028000000000000004
296,All candidates,TRUE,0.059125,0.067,0.007875000000000007
297,All candidates,TRUE,0.05675,0.067,0.010250000000000002
298,All candidates,TRUE,0.0465,0.067,0.020500000000000004
299,All candidates,TRUE,0.04875,0.067,0.018250000000000002
300,All candidates,TRUE,0.048,0.067,0.019000000000000003
301,All candidates,TRUE,0.0465,0.067,0.020500000000000004
302,All candidates,TRUE,0.05,0.067,0.017
303,All candidates,TRUE,0.051000000000000004,0.067,0.016
304,All candidates,TRUE,0.0475,0.067,0.019500000000000003
305,All candidates,TRUE,0.0395,0.067,0.027500000000000004
306,All candidates,TRUE,0.0555,0.067,0.011500000000000003
307,All candidates,TRUE,0.046,0.067,0.021000000000000005
308,All candidates,TRUE,0.0445,0.067,0.022500000000000006
309,All candidates,TRUE,0.0475,0.067,0.019500000000000003
310,All candidates,TRUE,0.05475,0.067,0.012250000000000004
311,All candidates,TRUE,0.0505,0.067,0.0165
312,All candidates,TRUE,0.034,0.067,0.033
313,All candidates,TRUE,0.0535,0.067,0.013500000000000005
314,All candidates,TRUE,0.043,0.067,0.024000000000000007
315,All candidates,TRUE,0.0485,0.067,0.018500000000000003
316,All candidates,TRUE,0.045,0.067,0.022000000000000006
317,All candidates,TRUE,0.045,0.067,0.022000000000000006
318,All candidates,TRUE,0.04825,0.067,0.018750000000000003
319,All candidates,TRUE,0.0605,0.067,0.006500000000000006
320,All candidates,TRUE,0.0555,0.067,0.011500000000000003
321,All candidates,TRUE,0.048,0.067,0.019000000000000003
322,All candidates,TRUE,0.04575,0.067,0.021250000000000005
323,All candidates,TRUE,0.053,0.067,0.014000000000000005
324,All candidates,TRUE,0.055999999999999994,0.067,0.01100000000000001
325,All candidates,TRUE,0.051000000000000004,0.067,0.016
326,All candidates,TRUE,0.05,0.067,0.017
327,All candidates,TRUE,0.054,0.067,0.013000000000000005
328,All candidates,TRUE,0.056,0.067,0.011000000000000003
329,All candidates,TRUE,0.0545,0.067,0.012500000000000004
330,All candidates,TRUE,0.0495,0.067,0.0175
331,All candidates,TRUE,0.0575,0.067,0.0095000000000000015
332,All candidates,TRUE,0.048,0.067,0.019000000000000003
333,All candidates,TRUE,0.0485,0.067,0.018500000000000003
334,All candidates,TRUE,0.0485,0.067,0.018500000000000003
335,All candidates,TRUE,0.062,0.067,0.0050000000000000044
336,All candidates,TRUE,0.055,0.067,0.012000000000000004
337,All candidates,TRUE,0.0475,0.067,0.019500000000000003
338,All candidates,TRUE,0.043,0.067,0.024000000000000007
339,All candidates,TRUE,0.0555,0.067,0.011500000000000003
340,All candidates,TRUE,0.0505,0.067,0.0165
341,All candidates,TRUE,0.03825,0.067,0.028750000000000005
342,All candidates,TRUE,0.05,0.067,0.017
343,All candidates,TRUE,0.05,0.067,0.017
344,All candidates,TRUE,0.054000000000000006,0.067,0.012999999999999998
345,All candidates,TRUE,0.05425,0.067,0.012750000000000004
346,All candidates,TRUE,0.0565,0.067,0.010500000000000002
347,All candidates,TRUE,0.051500000000000004,0.067,0.0155
348,All candidates,TRUE,0.05,0.067,0.017
349,All candidates,TRUE,0.05,0.067,0.017
350,All candidates,TRUE,0.057499999999999996,0.067,0.009500000000000008
351,All candidates,TRUE,0.049,0.067,0.018000000000000002
352,All candidates,TRUE,0.05425,0.067,0.012750000000000004
353,All candidates,TRUE,0.045,0.067,0.022000000000000006
354,All candidates,TRUE,0.051500000000000004,0.067,0.0155
355,All candidates,TRUE,0.05,0.067,0.017
356,All candidates,TRUE,0.05575,0.067,0.011250000000000003
357,All candidates,TRUE,0.0455,0.067,0.021500000000000005
358,All candidates,TRUE,0.0495,0.067,0.0175
359,All candidates,TRUE,0.057999999999999996,0.067,0.009000000000000008
360,All candidates,TRUE,0.049,0.067,0.018000000000000002
361,All candidates,TRUE,0.053750000000000006,0.067,0.013249999999999998
362,All candidates,TRUE,0.051000000000000004,0.067,0.016
363,All candidates,TRUE,0.04825,0.067,0.018750000000000003
364,All candidates,TRUE,0.05,0.067,0.017
365,All candidates,TRUE,0.052000000000000005,0.067,0.015
366,All candidates,TRUE,0.05,0.067,0.017
367,All candidates,TRUE,0.043125,0.067,0.023875000000000007
368,All candidates,TRUE,0.049875,0.067,0.017125
369,All candidates,TRUE,0.042499999999999996,0.067,0.024500000000000008
370,All candidates,TRUE,0.04825,0.067,0.018750000000000003
371,All candidates,TRUE,0.0455,0.067,0.021500000000000005
372,All candidates,TRUE,0.04,0.067,0.027000000000000003
373,All candidates,TRUE,0.046625,0.067,0.020375000000000004
374,All candidates,TRUE,0.045,0.067,0.022000000000000006
375,All candidates,TRUE,0.047,0.067,0.020000000000000004
376,All candidates,TRUE,0.04825,0.067,0.018750000000000003
377,All candidates,TRUE,0.044,0.067,0.023000000000000007
378,All candidates,TRUE,0.041499999999999995,0.067,0.02550000000000001
379,All candidates,TRUE,0.051000000000000004,0.067,0.016
380,All candidates,TRUE,0.049,0.067,0.018000000000000002
381,All candidates,TRUE,0.052500000000000005,0.067,0.014499999999999999
382,All candidates,TRUE,0.04875,0.067,0.018250000000000002
383,All candidates,TRUE,0.042,0.067,0.025
384,All candidates,TRUE,0.05525,0.067,0.011750000000000003
385,All candidates,TRUE,0.051,0.067,0.016000000000000007
386,All candidates,TRUE,0.038,0.067,0.029000000000000005
387,All candidates,TRUE,0.0495,0.067,0.0175
388,All candidates,TRUE,0.0525,0.067,0.014500000000000006
389,All candidates,TRUE,0.0545,0.067,0.012500000000000004
390,All candidates,TRUE,0.04475,0.067,0.022250000000000006
391,All candidates,TRUE,0.04325,0.067,0.023750000000000007
392,All candidates,TRUE,0.0515,0.067,0.015500000000000007
393,All candidates,TRUE,0.04425,0.067,0.022750000000000006
394,All candidates,TRUE,0.055499999999999994,0.067,0.01150000000000001
395,All candidates,TRUE,0.0545,0.067,0.012500000000000004
396,All candidates,TRUE,0.061,0.067,0.006000000000000005
397,All candidates,TRUE,0.046,0.067,0.021000000000000005
398,All candidates,TRUE,0.05475,0.067,0.012250000000000004
399,All candidates,TRUE,0.0545,0.067,0.012500000000000004
400,All candidates,TRUE,0.0455,0.067,0.021500000000000005
401,All candidates,TRUE,0.047,0.067,0.020000000000000004
402,All candidates,TRUE,0.052250000000000005,0.067,0.01475
403,All candidates,TRUE,0.0495,0.067,0.0175
404,All candidates,TRUE,0.0565,0.067,0.010500000000000002
405,All candidates,TRUE,0.0485,0.067,0.018500000000000003
406,All candidates,TRUE,0.058499999999999996,0.067,0.008500000000000008
407,All candidates,TRUE,0.051000000000000004,0.067,0.016
408,All candidates,TRUE,0.0475,0.067,0.019500000000000003
409,All candidates,TRUE,0.04475,0.067,0.022250000000000006
410,All candidates,TRUE,0.056,0.067,0.011000000000000003
411,All candidates,TRUE,0.0505,0.067,0.0165
412,All candidates,TRUE,0.055,0.067,0.012000000000000004
413,All candidates,TRUE,0.0445,0.067,0.022500000000000006
414,All candidates,TRUE,0.04925,0.067,0.017750000000000002
415,All candidates,TRUE,0.052500000000000005,0.067,0.014499999999999999
416,All candidates,TRUE,0.055,0.067,0.012000000000000004
417,All candidates,TRUE,0.044,0.067,0.023000000000000007
418,All candidates,TRUE,0.049,0.067,0.018000000000000002
419,All candidates,TRUE,0.055249999999999994,0.067,0.01175000000000001
420,All candidates,TRUE,0.05,0.067,0.017
421,All candidates,TRUE,0.051000000000000004,0.067,0.016
422,All candidates,TRUE,0.0415,0.067,0.025500000000000002
423,All candidates,TRUE,0.047,0.067,0.020000000000000004
424,All candidates,TRUE,0.0545,0.067,0.012500000000000004
425,All candidates,TRUE,0.053,0.067,0.014000000000000005
426,All candidates,TRUE,0.0575,0.067,0.0095000000000000015
427,All candidates,TRUE,0.0485,0.067,0.018500000000000003
428,All candidates,TRUE,0.055999999999999994,0.067,0.01100000000000001
429,All candidates,TRUE,0.052,0.067,0.015000000000000006
430,All candidates,TRUE,0.0465,0.067,0.020500000000000004
431,All candidates,TRUE,0.04925,0.067,0.017750000000000002
432,All candidates,TRUE,0.051000000000000004,0.067,0.016
433,All candidates,TRUE,0.0525,0.067,0.014500000000000006
434,All candidates,TRUE,0.0495,0.067,0.0175
435,All candidates,TRUE,0.051000000000000004,0.067,0.016
436,All candidates,TRUE,0.052000000000000005,0.067,0.015
437,All candidates,TRUE,0.06,0.067,0.007000000000000006
438,All candidates,TRUE,0.04475,0.067,0.022250000000000006
439,All candidates,TRUE,0.043,0.067,0.024000000000000007
440,All candidates,TRUE,0.04875,0.067,0.018250000000000002
441,All candidates,TRUE,0.048,0.067,0.019000000000000003
442,All candidates,TRUE,0.0555,0.067,0.011500000000000003
443,All candidates,TRUE,0.0555,0.067,0.011500000000000003
444,All candidates,TRUE,0.046,0.067,0.021000000000000005
445,All candidates,TRUE,0.051000000000000004,0.067,0.016
446,All candidates,TRUE,0.0455,0.067,0.021500000000000005
447,All candidates,TRUE,0.048,0.067,0.019000000000000003
448,All candidates,TRUE,0.0595,0.067,0.007500000000000007
449,All candidates,TRUE,0.0495,0.067,0.0175
450,All candidates,TRUE,0.0405,0.067,0.026500000000000003
451,All candidates,TRUE,0.0505,0.067,0.0165
452,All candidates,TRUE,0.04625,0.067,0.020750000000000005
453,All candidates,TRUE,0.0545,0.067,0.012500000000000004
454,All candidates,TRUE,0.048,0.067,0.019000000000000003
455,All candidates,TRUE,0.05425,0.067,0.012750000000000004
456,All candidates,TRUE,0.0515,0.067,0.015500000000000007
457,All candidates,TRUE,0.0485,0.067,0.018500000000000003
458,All candidates,TRUE,0.051000000000000004,0.067,0.016
459,All candidates,TRUE,0.0495,0.067,0.0175
460,All candidates,TRUE,0.03975,0.067,0.027250000000000003
461,All candidates,TRUE,0.0485,0.067,0.018500000000000003
462,All candidates,TRUE,0.0465,0.067,0.020500000000000004
463,All candidates,TRUE,0.048,0.067,0.019000000000000003
464,All candidates,TRUE,0.058499999999999996,0.067,0.008500000000000008
465,All candidates,TRUE,0.056999999999999995,0.067,0.010000000000000009
466,All candidates,TRUE,0.053,0.067,0.014000000000000005
467,All candidates,TRUE,0.051500000000000004,0.067,0.0155
468,All candidates,TRUE,0.04875,0.067,0.018250000000000002
469,All candidates,TRUE,0.046,0.067,0.021000000000000005
470,All candidates,TRUE,0.05,0.067,0.017
