Gene	Gene Length (bp)	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
KALRN	692957		113	61	147	41.5%	No
MGAM	198935		113	56	147	38.1%	Yes
ADGRB3	755290		112	64	147	43.5%	No
COL4A1	158240		112	56	147	38.1%	No
DNAH14	503031		112	53	147	36.1%	No
FCGBP	71304		112	52	147	35.4%	No
COL6A6	159868		111	49	147	33.3%	No
WDR87	21855		111	49	147	33.3%	No
NBEA	730753		110	50	147	34.0%	No
WDFY4	298087		110	47	147	32.0%	No
FAT1	138932		109	60	147	40.8%	Yes
MROH2B	73326		109	51	147	34.7%	No
TNXB	74182		107	44	147	29.9%	No
ZNF804B	578829		107	57	147	38.8%	No
HSPG2	115067		106	50	147	34.0%	No
PEG3	30652		106	59	147	40.1%	No
PLCE1	338930		106	58	147	39.5%	No
KMT2C	301723		105	67	176	38.1%	Yes
MYH1	27331		105	54	176	30.7%	No
MYO18B	288902		105	54	147	36.7%	No
ZNF536	488696		105	46	147	31.3%	No
CACNA1E	495573		103	52	147	35.4%	No
CMYA5	110831		103	50	147	34.0%	No
FBN1	237409		103	61	147	41.5%	No
SCN9A	180817		103	54	147	36.7%	No
COL15A1	128118		102	50	147	34.0%	No
NAV3	888370		102	50	147	34.0%	No
SPATA31D1	6482		101	43	147	29.3%	No
VWF	175894		101	64	147	43.5%	No
CFH	100723		100	57	147	38.8%	No
COL5A1	203041		100	51	147	34.7%	Yes
EPHA7	179668		100	59	176	33.5%	Yes
FAT2	87240		100	58	147	39.5%	No
MDGA2	835514		100	57	147	38.8%	No
SALL1	16702		100	56	147	38.1%	No
SPATA31H1	45337		100	45	147	30.6%	No
FNDC1	102760		99	50	147	34.0%	No
FREM2	200055		99	49	147	33.3%	No
PLEC	61583		99	50	147	34.0%	No
TG	267946		99	54	147	36.7%	No
CNTNAP2	2304997		98	55	147	37.4%	No
DOCK2	446134		98	54	147	36.7%	No
MYH7	23405		98	50	147	34.0%	No
PKD1L1	208265		98	52	147	35.4%	No
DCHS2	260058		97	54	147	36.7%	No
MAGI2	1436613		97	60	176	34.1%	Yes
MDN1	177297		97	58	147	39.5%	No
ALMS1	239409		96	52	147	35.4%	No
COL12A1	121942		96	50	147	34.0%	No
DNAH2	115999		96	53	147	36.1%	No
LRRIQ1	228144		95	49	147	33.3%	No
ACAN	71918		94	46	147	31.3%	No
CNTNAP5	895933		94	42	147	28.6%	No
DNAH17	153700		94	51	147	34.7%	No
FBN3	84292		93	53	147	36.1%	No
SCN1A	198166		93	60	147	40.8%	No
SRCAP	43244		93	45	147	30.6%	No
ABCC9	145155		92	56	147	38.1%	No
COL3A1	38376		92	53	147	36.1%	No
DCC	1195703		92	53	147	36.1%	No
PTPRQ	278096		92	45	147	30.6%	No
VWDE	73741		92	44	147	29.9%	No
ANKRD30B	126396		91	42	147	28.6%	No
COL4A3	150169		91	56	147	38.1%	No
DNAH12	250646		91	43	147	29.3%	No
KDR	47120		91	58	176	33.0%	Yes
LAMA2	633429		91	61	147	41.5%	No
NPAP1	7619		91	50	147	34.0%	No
SYNE2	464535		91	54	147	36.7%	No
ADAMTS12	368485		90	50	147	34.0%	No
CDH23	419028		90	45	147	30.6%	No
ERBB4	1163125		90	60	176	34.1%	Yes
RIMS1	516601		90	44	147	29.9%	No
STAB2	179447		90	50	147	34.0%	No
BLTP1	211837		89	61	147	41.5%	No
COL14A1	313794		89	53	147	36.1%	No
GPR158	427428		89	52	147	35.4%	No
GRIN2A	429934		89	50	147	34.0%	Yes
LAMA1	176118		89	49	147	33.3%	No
LRRC7	584024		89	57	147	38.8%	No
ATP10A	187912		88	48	147	32.7%	No
C6	121326		88	56	147	38.1%	No
PPFIA2	501579		88	45	147	30.6%	No
FLG2	11272		87	49	147	33.3%	No
TMEM132D	832301		87	53	147	36.1%	No
ANKRD30A	106970		86	51	147	34.7%	No
COL4A2	207398		86	47	147	32.0%	No
CRACD	281512		86	51	147	34.7%	No
PPP1R3A	199144		86	50	147	34.0%	No
PTPRT	1117219		86	49	147	33.3%	Yes
PXDNL	489886		86	44	147	29.9%	No
AFF3	647010		85	52	176	29.5%	Yes
CNTNAP4	283480		85	41	147	27.9%	No
GRIN2B	544061		85	50	147	34.0%	No
MYH4	26270		85	49	147	33.3%	No
OTOF	101554		85	48	147	32.7%	No
OTOGL	281344		85	47	147	32.0%	No
CNTN6	311560		84	40	147	27.2%	No
PIK3CG	43703		84	54	176	30.7%	Yes
RIMS2	753821		84	46	147	31.3%	No
SLIT2	368659		84	55	147	37.4%	Yes
SPAG17	231639		84	58	147	39.5%	No
ASXL3	172977		83	40	147	27.2%	Yes
CDKN2A	27550		83	72	176	40.9%	Yes
MYH8	31629		83	53	147	36.1%	No
NALCN	362736		83	48	147	32.7%	No
PCDH17	97568		83	45	147	30.6%	No
PLCH1	369506		83	44	147	29.9%	No
SHROOM3	348025		83	44	147	29.9%	No
TEX15	81465		83	43	147	29.3%	No
ANK3	707193		82	51	147	34.7%	No
DST	496844		82	44	147	29.9%	No
FRAS1	486947		82	40	147	27.2%	No
FRY	452413		82	52	147	35.4%	No
MAP1A	20663		82	52	147	35.4%	No
MYO3A	278320		82	41	147	27.9%	No
FSCB	3135		81	51	176	29.0%	No
SCN7A	208011		81	40	147	27.2%	No
SHANK2	785040		81	45	147	30.6%	No
ABCA4	128315		80	52	147	35.4%	No
CFAP54	385985		80	35	147	23.8%	No
COL11A2	30086		80	42	147	28.6%	No
HECTD4	222252		80	45	147	30.6%	No
HMCN2	168364		80	24	147	16.3%	No
SPEN	104362		80	52	147	35.4%	Yes
THSD7B	912174		80	44	147	29.9%	No
TMEM132B	475992		80	43	147	29.3%	No
CD163L1	133213		79	47	147	32.0%	No
CFAP47	465584		79	39	147	26.5%	No
SCN10A	119485		79	47	147	32.0%	No
TMEM132C	440742		79	35	147	23.8%	No
TRPM6	165600		79	49	147	33.3%	No
ADAMTS20	199433		78	42	147	28.6%	No
EPHA5	350933		78	50	176	28.4%	Yes
MYH2	28553		78	47	147	32.0%	No
NLRP5	75036		78	43	147	29.3%	No
UBR4	135757		78	43	147	29.3%	No
ZNF804A	340964		78	49	147	33.3%	No
CFAP46	134432		77	40	147	27.2%	No
DSCAML1	389754		77	45	147	30.6%	No
PLCB4	436769		77	47	147	32.0%	No
PREX2	285078		77	53	176	30.1%	Yes
SACS	145075		77	46	147	31.3%	No
SPATA31E1	6027		77	42	147	28.6%	No
STXBP5L	516690		77	48	147	32.7%	No
TRIOBP	79509		77	42	147	28.6%	No
TRPM3	917918		77	45	147	30.6%	No
VPS13B	864315		77	47	147	32.0%	No
CACNA1H	71067		76	41	147	27.9%	No
CDH10	157880		76	46	147	31.3%	No
CNTN3	352131		76	47	147	32.0%	No
COL2A1	31723		76	44	147	29.9%	Yes
COL9A1	87045		76	44	147	29.9%	No
FLNC	28964		76	43	147	29.3%	No
IGFN1	38129		75	42	147	28.6%	No
PCDH9	927612		75	45	147	30.6%	No
PRDM9	84508		75	47	147	32.0%	No
VPS13D	282018		75	45	147	30.6%	No
ZNF521	290271		75	50	147	34.0%	Yes
COL5A3	50944		74	42	147	28.6%	No
DYNC2H1	370454		74	43	147	29.3%	No
HECW1	453373		74	48	147	32.7%	No
MTUS2	685927		74	43	176	24.4%	No
PLXNA4	525349		74	47	147	32.0%	No
AKAP6	508387		73	45	147	30.6%	No
CPAMD8	133865		73	43	147	29.3%	No
CPS1	201426		73	41	147	27.9%	Yes
DGKI	466056		73	46	147	31.3%	No
DYNC1H1	91871		73	52	147	35.4%	No
ITGA8	205983		73	41	147	27.9%	No
KCNB2	401125		73	45	147	30.6%	No
MUC3A	18927		73	27	147	18.4%	No
NRXN3	1697919		73	42	147	28.6%	No
SIGLEC1	25678		73	43	147	29.3%	No
SPEG	58787		73	42	147	28.6%	No
ST18	350146		73	48	147	32.7%	No
VPS13C	208085		73	43	147	29.3%	No
ZBBX	168032		73	39	147	26.5%	No
CTNNA2	1463631		72	45	147	30.6%	No
DLC1	521250		72	42	176	23.9%	No
EP400	130530		72	46	147	31.3%	Yes
EPHA3	374916		72	46	176	26.1%	Yes
HIVEP3	529561		72	42	147	28.6%	No
MAGEL2	4319		72	38	147	25.9%	No
MAP2	310248		72	39	147	26.5%	No
MYH14	122360		72	43	147	29.3%	No
NDST4	286114		72	41	147	27.9%	No
NLRP13	40638		72	46	147	31.3%	No
TNRC18	118625		72	38	147	25.9%	No
ADAMTS9	172347		71	40	147	27.2%	No
CACNA1A	418048		71	41	147	27.9%	No
CACNA1C	727179		71	43	147	29.3%	No
CACNA1S	72940		71	47	147	32.0%	No
COL1A1	17534		71	42	176	23.9%	Yes
EPHA6	946952		71	33	147	22.4%	No
F5	74638		71	49	147	33.3%	No
FN1	75681		71	46	147	31.3%	No
LRRTM4	845635		71	41	147	27.9%	No
MYO16	611854		71	53	147	36.1%	No
NES	8645		71	50	147	34.0%	No
NRXN1	1307073		71	38	147	25.9%	No
RNF213	137943		71	52	176	29.5%	Yes
SZT2	64366		71	41	147	27.9%	Yes
HERC1	225331		70	42	147	28.6%	No
MYLK	274327		70	42	147	28.6%	No
PCSK5	472332		70	38	147	25.9%	No
RP1L1	105839		70	39	147	26.5%	No
SHANK1	60548		70	44	147	29.9%	No
TPTE	84588		70	36	147	24.5%	No
ADGB	216496		69	41	147	27.9%	No
ASTN1	307672		69	46	147	31.3%	No
DIDO1	60215		69	45	147	30.6%	No
GRM3	220976		69	41	147	27.9%	Yes
GRM8	814496		69	49	147	33.3%	No
LRP1	84879		69	41	147	27.9%	No
LRRK2	172542		69	50	147	34.0%	Yes
MYO7B	102047		69	35	147	23.8%	No
NAV2	770878		69	49	147	33.3%	No
NLGN1	898089		69	47	147	32.0%	No
NOTCH3	41959		69	47	176	26.7%	Yes
TLR4	20561		69	43	147	29.3%	No
TTBK1	44778		69	39	147	26.5%	No
ADGRL3	878010		68	44	176	25.0%	No
APC	138742		68	48	176	27.3%	Yes
CADPS	477218		68	40	147	27.2%	No
GLI2	257031		68	35	147	23.8%	No
HERC2	211140		68	46	147	31.3%	No
KCNH8	387541		68	44	147	29.9%	No
KIAA1549	150704		68	46	176	26.1%	Yes
LPA	132794		68	46	147	31.3%	No
MMP16	296015		68	42	147	28.6%	No
PCDHA1	226212		68	48	147	32.7%	No
PLCB1	891110		68	46	147	31.3%	No
SORCS1	591044		68	39	147	26.5%	No
SORCS3	623953		68	49	147	33.3%	No
ADGRL2	687829		67	44	176	25.0%	No
ASTN2	991959		67	47	147	32.0%	No
DYSF	233203		67	44	147	29.9%	No
KIAA1755	50537		67	37	147	25.2%	No
NPC1L1	28796		67	36	147	24.5%	No
PCDHA13	130224		67	39	147	26.5%	No
TECTA	90248		67	39	147	26.5%	No
ADAMTSL1	1004388		66	39	147	26.5%	No
AMPH	247808		66	43	147	29.3%	No
CHD5	78535		66	42	147	28.6%	No
FAM186A	70393		66	34	147	23.1%	No
MGAM2	110607		66	17	147	11.6%	No
NCOA6	136643		66	40	147	27.2%	No
PPP1R9A	389214		66	46	147	31.3%	No
SDK2	310062		66	43	147	29.3%	No
TRHDE	583493		66	45	147	30.6%	No
ADAMTS18	187222		65	40	147	27.2%	No
C3	52859		65	40	147	27.2%	No
CCDC141	221941		65	42	147	28.6%	No
CREBBP	155660		65	45	176	25.6%	Yes
DCDC1	539442		65	40	147	27.2%	No
EP300	88262		65	51	176	29.0%	Yes
MAGEC1	5481		65	35	147	23.8%	No
TPO	169779		65	46	147	31.3%	No
WNK2	136451		65	38	147	25.9%	No
ZFHX3	1108987		65	45	147	30.6%	Yes
BRINP3	380747		64	41	147	27.9%	No
CRB1	210252		64	43	147	29.3%	No
FLNB	163854		64	49	176	27.8%	No
GREB1	160449		64	36	147	24.5%	No
LOXHD1	180249		64	35	147	23.8%	No
MUC5AC	43186		64	23	147	15.6%	No
PTPRC	129447		64	39	147	26.5%	Yes
RBMXL3	3459		64	37	147	25.2%	No
SCN11A	206394		64	43	147	29.3%	No
SCN5A	101687		64	36	147	24.5%	No
SLC8A1	513784		64	40	176	22.7%	No
SPTBN5	45908		64	40	147	27.2%	No
TAF1L	6216		64	37	147	25.2%	No
TRIO	388787		64	44	147	29.9%	No
COL5A2	193415		63	46	147	31.3%	No
CTTNBP2	163489		63	41	147	27.9%	No
DPP10	1403482		63	33	147	22.4%	No
FAM47A	2563		63	45	147	30.6%	No
LAMA5	59358		63	50	176	28.4%	No
PALM2AKAP2	674188		63	39	147	26.5%	No
PTPRM	840080		63	37	147	25.2%	No
SLX4	30426		63	43	147	29.3%	Yes
SRRM2	19913		63	44	147	29.9%	No
STAB1	29176		63	38	147	25.9%	No
TRPA1	70391		63	45	147	30.6%	No
ZAN	64203		63	31	147	21.1%	No
ARID2	179131		62	46	176	26.1%	Yes
ATP13A4	194145		62	38	147	25.9%	No
CD163	33100		62	39	147	26.5%	No
CUX2	316702		62	34	147	23.1%	No
DMXL2	175271		62	44	147	29.9%	No
HCN1	441551		62	38	147	25.9%	No
LYST	222684		62	40	147	27.2%	No
PAPPA	248531		62	43	147	29.3%	No
PDE10A	660831		62	44	147	29.9%	No
PDE3A	320047		62	40	147	27.2%	No
PREX1	203848		62	41	147	27.9%	No
SCN3A	116525		62	38	147	25.9%	No
SPTB	133625		62	42	147	28.6%	No
TRPM1	160096		62	40	147	27.2%	No
ZNF229	31060		62	40	147	27.2%	No
ACACB	151640		61	41	147	27.9%	No
CFAP61	308190		61	43	147	29.3%	No
CNTN5	1337937		61	40	147	27.2%	No
KCNT2	383447		61	35	147	23.8%	No
KIF1A	110560		61	36	147	24.5%	No
MYCBP2	284621		61	43	147	29.3%	No
MYH11	155304		61	42	176	23.9%	Yes
MYH6	27370		61	46	147	31.3%	No
PRKDC	187075		61	51	176	29.0%	Yes
SDK1	967749		61	43	147	29.3%	No
SLC4A4	509421		61	39	147	26.5%	No
SLCO1C1	58055		61	42	147	28.6%	No
SPEF2	196768		61	42	147	28.6%	No
TENM1	828410		61	41	147	27.9%	No
TET1	134277		61	44	176	25.0%	Yes
ANO5	500909		60	43	147	29.3%	No
ARID1A	88869		60	39	176	22.2%	Yes
CACNA1B	246843		60	41	176	23.3%	No
COL20A1	41666		60	35	147	23.8%	No
DCHS1	34480		60	41	147	27.9%	No
FGD5	124054		60	38	147	25.9%	No
NWD1	98117		60	44	147	29.9%	No
PAK5	301707		60	50	176	28.4%	Yes
SCN2A	197318		60	40	147	27.2%	No
TCF20	183604		60	34	147	23.1%	No
ANKRD11	222943		59	41	147	27.9%	Yes
ARFGEF3	182725		59	37	147	25.2%	No
CACNA1D	484771		59	38	147	25.9%	Yes
CHL1	212655		59	37	147	25.2%	No
FILIP1	201942		59	39	147	26.5%	No
GPR179	19386		59	35	147	23.8%	No
HFM1	144091		59	42	147	28.6%	No
KMT2A	90377		59	39	176	22.2%	Yes
MYH15	148955		59	39	147	26.5%	No
MYO7A	86997		59	39	147	26.5%	No
MYOCD	103060		59	41	147	27.9%	No
NCAM2	544921		59	38	147	25.9%	No
PDE4DIP	240147		59	41	147	27.9%	Yes
PIEZO2	483087		59	34	147	23.1%	No
TENM2	1285129		59	41	147	27.9%	No
TNR	428402		59	35	147	23.8%	No
ABCA8	89419		58	38	147	25.9%	No
ABCC12	75137		58	43	147	29.3%	No
ABCC8	84397		58	39	147	26.5%	No
ALK	728813		58	41	176	23.3%	Yes
CELSR3	26424		58	44	147	29.9%	No
DMBT1	83098		58	31	147	21.1%	No
F8	191153		58	36	147	24.5%	No
FER1L6	268075		58	40	147	27.2%	No
GRM5	561407		58	40	147	27.2%	No
HELZ2	16154		58	35	147	23.8%	No
HRNR	12118		58	36	147	24.5%	No
MEGF8	53161		58	34	147	23.1%	No
MKI67	29790		58	38	147	25.9%	Yes
MYH13	72266		58	35	147	23.8%	No
NLRP8	40798		58	35	147	23.8%	No
NYAP2	330178		58	35	147	23.8%	No
PCDHA4	205311		58	37	147	25.2%	No
PDZD2	471813		58	46	147	31.3%	No
RFX6	54950		58	39	147	26.5%	No
SLITRK3	10785		58	42	147	28.6%	No
ADAMTSL3	386160		57	35	176	19.9%	No
ADCY8	261288		57	39	147	26.5%	No
CEP350	160207		57	42	147	28.6%	No
CFAP65	38682		57	38	147	25.9%	No
CFTR	428852		57	37	147	25.2%	No
CLSTN2	642213		57	40	147	27.2%	No
CR1	145630		57	32	147	21.8%	No
CTNND2	932611		57	38	147	25.9%	No
DGKB	829785		57	37	147	25.2%	No
DNAH1	84174		57	36	147	24.5%	No
GRIN3A	169296		57	37	147	25.2%	No
HUWE1	154657		57	41	147	27.9%	No
ITPR2	497843		57	39	147	26.5%	No
KIF26B	554448		57	37	147	25.2%	No
KLHL1	407900		57	37	147	25.2%	No
KMT2B	20908		57	31	147	21.1%	Yes
MGA	151948		57	35	147	23.8%	Yes
NF1	287190		57	45	176	25.6%	Yes
PXDN	112966		57	36	147	24.5%	No
TNN	80567		57	39	147	26.5%	No
VPS13A	244093		57	41	147	27.9%	No
ATR	129775		56	42	176	23.9%	Yes
BAHCC1	70875		56	29	147	19.7%	No
C7	110798		56	34	147	23.1%	No
GRID2	1506192		56	38	147	25.9%	No
GRM1	409956		56	37	147	25.2%	No
KCNQ3	360235		56	44	147	29.9%	No
LAMA4	148863		56	41	147	27.9%	No
MYT1L	542552		56	32	147	21.8%	No
NLRP2	48013		56	40	176	22.7%	No
NLRP3	117338		56	38	147	25.9%	No
NLRP7	42804		56	35	147	23.8%	No
NRXN2	117024		56	36	147	24.5%	No
RGS7	589739		56	36	147	24.5%	No
TACC2	265383		56	41	147	27.9%	No
TNIK	401995		56	32	147	21.8%	No
TSHZ3	199458		56	35	147	23.8%	No
USP29	12789		56	33	147	22.4%	No
ADAMTS16	179976		55	35	147	23.8%	No
ADGRL4	392361		55	40	147	27.2%	No
AK9	198363		55	38	147	25.9%	No
ANKFN1	634716		55	35	147	23.8%	No
ANKS1B	1258480		55	40	147	27.2%	No
BRINP1	216058		55	37	147	25.2%	No
DLG2	2173324		55	31	147	21.1%	No
HIVEP2	205232		55	38	147	25.9%	No
JCAD	102692		55	37	147	25.2%	No
NLRP4	45316		55	39	147	26.5%	No
NRAP	75408		55	37	147	25.2%	No
PKD1	47191		55	38	147	25.9%	No
WDR17	116981		55	37	147	25.2%	No
COL7A1	31257		54	40	147	27.2%	No
DCLK1	363513		54	40	147	27.2%	No
GRID1	767244		54	36	147	24.5%	No
KNL1	70323		54	39	176	22.2%	Yes
MAP1B	102332		54	35	147	23.8%	No
NCKAP5	896676		54	30	147	20.4%	No
NLRP12	32265		54	37	147	25.2%	No
NLRP9	29965		54	39	147	26.5%	No
PTPRO	279919		54	39	147	26.5%	Yes
SAMD9L	18330		54	37	147	25.2%	Yes
SMARCA4	118603		54	38	176	21.6%	Yes
ZSCAN18	34594		54	34	147	23.1%	No
ADAMTS2	234609		53	39	147	26.5%	No
ALPK2	147845		53	36	147	24.5%	No
ASH1L	227895		53	39	147	26.5%	No
DENND2A	155576		53	35	147	23.8%	No
ENAM	18081		53	37	147	25.2%	No
FCRL3	26581		53	39	147	26.5%	No
HGF	71429		53	36	176	20.5%	Yes
HTT	202595		53	41	147	27.9%	No
KCNH5	402574		53	34	147	23.1%	No
LAMA3	266770		53	33	147	22.4%	No
LEPR	220908		53	36	147	24.5%	No
NPHS1	43916		53	35	147	23.8%	No
NTRK3	397243		53	40	176	22.7%	Yes
PLXNA2	222609		53	36	147	24.5%	No
POLQ	114577		53	38	147	25.9%	Yes
PPRC1	17340		53	36	147	24.5%	No
RUNX1T1	148414		53	41	176	23.3%	Yes
SCAND3	45678		53	35	147	23.8%	No
SLCO1B3	106221		53	31	176	17.6%	No
UNC5D	561076		53	39	147	26.5%	No
UTRN	567700		53	41	147	27.9%	No
VWA5B1	68660		53	32	147	21.8%	No
WDR49	176195		53	28	147	19.0%	No
ATP13A5	104032		52	34	147	23.1%	No
CELSR2	26213		52	37	147	25.2%	No
CFHR5	34669		52	32	147	21.8%	No
COL16A1	52060		52	33	147	22.4%	No
DOCK4	480298		52	34	147	23.1%	No
FCRL4	24339		52	42	176	23.9%	Yes
GRM7	971533		52	37	147	25.2%	No
IGSF10	35803		52	33	147	22.4%	No
ITPR1	354162		52	36	147	24.5%	No
NID2	64251		52	38	147	25.9%	No
OR4A15	945		52	36	147	24.5%	No
PCDHA2	217496		52	40	147	27.2%	No
PDZRN3	242511		52	35	147	23.8%	No
POM121L12	1293		52	31	147	21.1%	No
SEMA5B	119814		52	38	147	25.9%	No
SIPA1L1	420954		52	33	147	22.4%	No
STARD9	145393		52	31	147	21.1%	No
TENM3	659107		52	35	147	23.8%	No
TEP1	47835		52	40	147	27.2%	No
TLN2	454120		52	39	147	26.5%	No
TOPAZ1	90213		52	38	147	25.9%	No
WDR72	249138		52	40	147	27.2%	No
ZNF541	52459		52	28	147	19.0%	No
ABCA9	86462		51	35	147	23.8%	No
ADAMTS10	30496		51	34	147	23.1%	No
ADAMTS7	52300		51	35	147	23.8%	No
ARHGEF17	61113		51	34	147	23.1%	No
ASPM	62574		51	33	147	22.4%	No
C2ORF78	32966		51	31	147	21.1%	No
CARD11	138088		51	40	176	22.7%	Yes
CASR	107962		51	32	147	21.8%	Yes
FCRL5	39139		51	37	147	25.2%	No
FIGN	142617		51	35	147	23.8%	No
GREB1L	283884		51	29	147	19.7%	No
HECW2	404586		51	37	147	25.2%	No
IMPG1	151565		51	36	147	24.5%	No
PCDHA8	171161		51	34	147	23.1%	No
PTPRN2	1048768		51	33	147	22.4%	No
PZP	59560		51	40	147	27.2%	No
TMPRSS15	216764		51	32	147	21.8%	No
VCAM1	19362		51	36	147	24.5%	No
WDFY3	297926		51	39	147	26.5%	No
ZFHX2	35336		51	31	147	21.1%	No
ABCB1	210359		50	36	176	20.5%	Yes
ATRNL1	855635		50	35	147	23.8%	No
COL28A1	179671		50	36	147	24.5%	No
CTNNA3	1851181		50	29	147	19.7%	No
DLGAP3	64215		50	32	147	21.8%	No
EPPK1	21144		50	29	147	19.7%	No
ITPRID1	142415		50	36	147	24.5%	No
LRRIQ3	172173		50	37	147	25.2%	No
MORC1	159887		50	35	147	23.8%	No
NCOR2	243217		50	29	147	19.7%	Yes
NFATC4	13932		50	28	147	19.0%	No
PARD3	705860		50	36	147	24.5%	No
PCDHGA12	82469		50	34	147	23.1%	No
RANBP2	66374		50	33	176	18.8%	Yes
SETD1A	27371		50	35	147	23.8%	Yes
ABI3BP	244361		49	29	147	19.7%	No
ADAM28	64999		49	36	147	24.5%	No
AFF2	500047		49	33	147	22.4%	No
AMER3	12595		49	28	147	19.0%	No
CACNA1I	118983		49	27	147	18.4%	No
GOLGB1	86768		49	35	147	23.8%	No
KCNU1	151802		49	33	147	22.4%	No
MYO9A	296287		49	37	147	25.2%	No
PCDHA6	184390		49	31	147	21.1%	No
PDE1C	676953		49	31	147	21.1%	No
PEX5L	242096		49	37	147	25.2%	No
RANBP17	438146		49	31	147	21.1%	No
ROBO2	1743270		49	29	176	16.5%	No
SEMA3E	285902		49	36	147	24.5%	No
SLCO4C1	62365		49	30	147	20.4%	No
SORL1	181450		49	35	147	23.8%	No
TANC1	264088		49	36	147	24.5%	No
TDRD6	16445		49	36	147	24.5%	No
ABCA6	67777		48	33	147	22.4%	No
AGRN	36000		48	33	147	22.4%	No
ANK1	243522		48	32	147	21.8%	Yes
CACNA1G	66760		48	29	147	19.7%	No
CDH11	182360		48	31	147	21.1%	Yes
CR2	36872		48	38	147	25.9%	No
GABBR2	421644		48	36	147	24.5%	No
GTF3C1	90406		48	38	147	25.9%	No
KCNA4	7479		48	40	147	27.2%	No
KCNB1	190904		48	31	147	21.1%	No
KIF26A	44441		48	32	147	21.8%	No
LRRC4C	1346300		48	32	147	21.8%	No
MBD5	495961		48	33	147	22.4%	No
MECOM	580277		48	31	147	21.1%	Yes
NID1	89373		48	29	147	19.7%	No
NUP210L	162427		48	37	147	25.2%	No
