gene_symbol,human_ortholog,appears_in_cbioportal,appears_in_cbioportal_mutated_gene_universe
Aard,AARD,TRUE,TRUE
Aars,AARS1,TRUE,TRUE
Aars2,AARS2,TRUE,TRUE
Aatk,AATK,TRUE,TRUE
Abca1,ABCA1,TRUE,TRUE
Abca13,ABCA13,TRUE,TRUE
Abca14,NA,FALSE,FALSE
Abca15,NA,FALSE,FALSE
Abca16,NA,FALSE,FALSE
Abca2,ABCA2,TRUE,TRUE
Abca3,ABCA3,TRUE,TRUE
Abca4,ABCA4,TRUE,TRUE
Abca6,ABCA6,TRUE,TRUE
Abcb11,ABCB11,TRUE,TRUE
Abcb1a,ABCB1,TRUE,TRUE
Abcb4,ABCB4,TRUE,TRUE
Abcb7,ABCB7,TRUE,TRUE
Abcc1,ABCC1,TRUE,TRUE
Abcc2,ABCC2,TRUE,TRUE
Abcc3,ABCC3,TRUE,TRUE
Abcc9,ABCC9,TRUE,TRUE
Abcd2,ABCD2,TRUE,TRUE
Abcd4,ABCD4,TRUE,TRUE
Abcg1,ABCG1,TRUE,TRUE
Abcg4,ABCG4,TRUE,TRUE
Abcg8,ABCG8,TRUE,TRUE
Abhd13,ABHD13,TRUE,TRUE
Abhd15,ABHD15,TRUE,TRUE
Abhd16a,ABHD16A,TRUE,TRUE
Abhd17b,ABHD17B,TRUE,TRUE
Abhd6,ABHD6,TRUE,TRUE
Abi3bp,ABI3BP,TRUE,TRUE
Abl2,ABL2,TRUE,TRUE
Abtb1,ABTB1,TRUE,TRUE
Abtb2,ABTB2,TRUE,TRUE
Acaca,ACACA,TRUE,TRUE
Acad10,ACAD10,TRUE,TRUE
Acad11,ACAD11,TRUE,TRUE
Acadm,ACADM,TRUE,TRUE
Acadsb,ACADSB,TRUE,TRUE
Acan,ACAN,TRUE,TRUE
Acap3,ACAP3,TRUE,TRUE
Acat3,ACAT2,TRUE,TRUE
Ace,ACE,TRUE,TRUE
Ache,ACHE,TRUE,TRUE
Acin1,ACIN1,TRUE,TRUE
Ackr1,ACKR1,TRUE,TRUE
Acnat1,NA,FALSE,FALSE
Acnat2,NA,FALSE,FALSE
Aco1,ACO1,TRUE,TRUE
Acod1,ACOD1,TRUE,TRUE
Acot5,ACOT1,TRUE,TRUE
Acot7,ACOT7,TRUE,TRUE
Acot9,ACOT9,TRUE,TRUE
Acox1,ACOX1,TRUE,TRUE
Acox2,ACOX2,TRUE,TRUE
Acp5,ACP5,TRUE,TRUE
Acp7,ACP7,TRUE,TRUE
Acrbp,ACRBP,TRUE,TRUE
Acsbg1,ACSBG1,TRUE,TRUE
Acsbg2,ACSBG2,TRUE,TRUE
Acsbg3,NA,FALSE,FALSE
Acsf2,ACSF2,TRUE,TRUE
Acsm2,ACSM2A,TRUE,TRUE
Acsm3,ACSM3,TRUE,TRUE
Acsm5,ACSM5,TRUE,TRUE
Acss1,ACSS1,TRUE,TRUE
Acss3,ACSS3,TRUE,TRUE
Acte1,NA,FALSE,FALSE
Actl11,NA,FALSE,FALSE
Actn1,ACTN1,TRUE,TRUE
Actr1a,ACTR1A,TRUE,TRUE
Actr1b,ACTR1B,TRUE,TRUE
Actr2,ACTR2,TRUE,TRUE
Actr3,ACTR3,TRUE,TRUE
Actr5,ACTR5,TRUE,TRUE
Actr6,ACTR6,TRUE,TRUE
Adad1,ADAD1,TRUE,TRUE
Adam11,ADAM11,TRUE,TRUE
Adam15,ADAM15,TRUE,TRUE
Adam17,ADAM17,TRUE,TRUE
Adam19,ADAM19,TRUE,TRUE
Adam20,ADAM20,TRUE,TRUE
Adam21,ADAM21,TRUE,TRUE
Adam23,ADAM23,TRUE,TRUE
Adam26a,NA,FALSE,FALSE
Adam26b,NA,FALSE,FALSE
Adam29,ADAM29,TRUE,TRUE
Adam33,ADAM33,TRUE,TRUE
Adam34,NA,FALSE,FALSE
Adam34l,NA,FALSE,FALSE
Adam39,ADAM20,TRUE,TRUE
Adam5,ADAM5,FALSE,FALSE
Adam9,ADAM9,TRUE,TRUE
Adamts15,ADAMTS15,TRUE,TRUE
Adamts20,ADAMTS20,TRUE,TRUE
Adamts5,ADAMTS5,TRUE,TRUE
Adamts7,ADAMTS7,TRUE,TRUE
Adamts8,ADAMTS8,TRUE,TRUE
Adamtsl1,ADAMTSL1,TRUE,TRUE
Adamtsl2,ADAMTSL2,TRUE,TRUE
Adamtsl3,ADAMTSL3,TRUE,TRUE
Adamtsl4,ADAMTSL4,TRUE,TRUE
Adar,ADAR,TRUE,TRUE
Adarb1,ADARB1,TRUE,TRUE
Adat2,ADAT2,TRUE,TRUE
Adck5,ADCK5,TRUE,TRUE
Adcy10,ADCY10,TRUE,TRUE
Adcy2,ADCY2,TRUE,TRUE
Adcy3,ADCY3,TRUE,TRUE
Adcy4,ADCY4,TRUE,TRUE
Adcy6,ADCY6,TRUE,TRUE
Adcy9,ADCY9,TRUE,TRUE
Adcyap1r1,ADCYAP1R1,TRUE,TRUE
Add1,ADD1,TRUE,TRUE
Add3,ADD3,TRUE,TRUE
Adgrb2,ADGRB2,TRUE,TRUE
Adgrb3,ADGRB3,TRUE,TRUE
Adgrg3,ADGRG3,TRUE,TRUE
Adgrg4,ADGRG4,TRUE,TRUE
Adgrg5,ADGRG5,TRUE,TRUE
Adgrg6,ADGRG6,TRUE,TRUE
Adgrv1,ADGRV1,TRUE,TRUE
Adh5,ADH5,TRUE,TRUE
Adh6b,ADH6,TRUE,TRUE
Adi1,ADI1,FALSE,FALSE
Adipoq,ADIPOQ,TRUE,TRUE
Adipor2,ADIPOR2,TRUE,TRUE
Adnp,ADNP,TRUE,TRUE
Adora2b,ADORA2B,TRUE,TRUE
Adprh,ADPRH,TRUE,TRUE
Adra1a,ADRA1A,TRUE,TRUE
Adra1b,ADRA1B,TRUE,TRUE
Adra2a,ADRA2A,TRUE,TRUE
Adssl1,ADSS1,TRUE,TRUE
Aebp2,AEBP2,TRUE,TRUE
Afap1,AFAP1,TRUE,TRUE
Afdn,AFDN,TRUE,TRUE
Aff3,AFF3,TRUE,TRUE
Afg1l,AFG1L,TRUE,TRUE
Afg3l1,NA,FALSE,FALSE
Aftph,AFTPH,TRUE,TRUE
Agbl2,AGBL2,TRUE,TRUE
Agbl5,AGBL5,TRUE,TRUE
Ager,AGER,TRUE,TRUE
Agfg1,AGFG1,TRUE,TRUE
Aggf1,AGGF1,TRUE,TRUE
Agmo,AGMO,TRUE,TRUE
Agpat5,AGPAT5,TRUE,TRUE
Agr2,AGR2,TRUE,TRUE
Agrn,AGRN,TRUE,TRUE
Agt,AGT,TRUE,TRUE
Agtr1b,AGTR1,TRUE,TRUE
Ahctf1,AHCTF1,TRUE,TRUE
Ahdc1,AHDC1,TRUE,TRUE
Ahnak,AHNAK,TRUE,TRUE
Ahsa2,AHSA2P,FALSE,FALSE
Aifm2,AIFM2,TRUE,TRUE
Aipl1,AIPL1,TRUE,TRUE
Ajm1,AJM1,TRUE,TRUE
Ajuba,AJUBA,TRUE,TRUE
Ak1,AK1,TRUE,TRUE
Akap12,AKAP12,TRUE,TRUE
Akap13,AKAP13,TRUE,TRUE
Akap4,AKAP4,TRUE,TRUE
Akap6,AKAP6,TRUE,TRUE
Akap9,AKAP9,TRUE,TRUE
Akr1b10,AKR1B10,TRUE,TRUE
Akr1b7,AKR1B10,TRUE,TRUE
Akr1c12,AKR1C2,TRUE,TRUE
Akr1c6,AKR1C1,TRUE,TRUE
Akr1d1,AKR1D1,TRUE,TRUE
Akt2,AKT2,TRUE,TRUE
Alas1,ALAS1,TRUE,TRUE
Albfm1,NA,FALSE,FALSE
Aldh1b1,ALDH1B1,TRUE,TRUE
Aldh1l1,ALDH1L1,TRUE,TRUE
Aldh4a1,ALDH4A1,TRUE,TRUE
Aldh6a1,ALDH6A1,TRUE,TRUE
Aldh9a1,ALDH9A1,TRUE,TRUE
Alg6,ALG6,TRUE,TRUE
Alk,ALK,TRUE,TRUE
Alkbh3,ALKBH3,TRUE,TRUE
Alkbh8,ALKBH8,TRUE,TRUE
Alms1,ALMS1,TRUE,TRUE
Alox15,ALOX15,TRUE,TRUE
Alox5,ALOX5,TRUE,TRUE
Alpi,ALPG,TRUE,TRUE
Alpk1,ALPK1,TRUE,TRUE
Alpk2,ALPK2,TRUE,TRUE
Alpk3,ALPK3,TRUE,TRUE
Alppl2,ALPG,TRUE,TRUE
Als2,ALS2,TRUE,TRUE
Alx3,ALX3,TRUE,TRUE
Ambp,AMBP,TRUE,TRUE
Ambra1,AMBRA1,TRUE,TRUE
Amdhd1,AMDHD1,TRUE,TRUE
Amer1,AMER1,TRUE,TRUE
Amer2,AMER2,TRUE,TRUE
Amer3,AMER3,TRUE,TRUE
Amfr,AMFR,TRUE,TRUE
Amigo3,AMIGO3,TRUE,TRUE
Amot,AMOT,TRUE,TRUE
Amotl1,AMOTL1,TRUE,TRUE
Amotl2,AMOTL2,TRUE,TRUE
Ampd1,AMPD1,TRUE,TRUE
Ampd2,AMPD2,TRUE,TRUE
Amph,AMPH,TRUE,TRUE
Amt,AMT,TRUE,TRUE
Anapc4,ANAPC4,TRUE,TRUE
Anapc7,ANAPC7,TRUE,TRUE
Ang5,ANG,TRUE,TRUE
Angel2,ANGEL2,TRUE,TRUE
Angpt1,ANGPT1,TRUE,TRUE
Angptl6,ANGPTL6,TRUE,TRUE
Ank2,ANK2,TRUE,TRUE
Ankar,ANKAR,TRUE,TRUE
Ankfn1,ANKFN1,TRUE,TRUE
Ankfy1,ANKFY1,TRUE,TRUE
Ankhd1,ANKHD1,TRUE,TRUE
Ankk1,ANKK1,TRUE,TRUE
Ankrd11,ANKRD11,TRUE,TRUE
Ankrd26,ANKRD26,TRUE,TRUE
Ankrd28,ANKRD28,TRUE,TRUE
Ankrd33,ANKRD33,TRUE,TRUE
Ankrd39,ANKRD39,TRUE,TRUE
Ankrd42,ANKRD42,TRUE,TRUE
Ankrd50,ANKRD50,TRUE,TRUE
Ankrd6,ANKRD6,TRUE,TRUE
Ankrd65,ANKRD65,TRUE,TRUE
Anks1,ANKS1A,TRUE,TRUE
Anks3,ANKS3,TRUE,TRUE
Anks6,ANKS6,TRUE,TRUE
Anln,ANLN,TRUE,TRUE
Ano2,ANO2,TRUE,TRUE
Ano4,ANO4,TRUE,TRUE
Ano5,ANO5,TRUE,TRUE
Ano6,ANO6,TRUE,TRUE
Ano9,ANO9,TRUE,TRUE
Anxa1,ANXA1,TRUE,TRUE
Anxa6,ANXA6,TRUE,TRUE
Aox1,AOX1,TRUE,TRUE
Aox2,NA,FALSE,FALSE
Aox4,NA,FALSE,FALSE
Ap1b1,AP1B1,TRUE,TRUE
Ap1m1,AP1M1,TRUE,TRUE
Ap2a2,AP2A2,TRUE,TRUE
Ap2b1,AP2B1,TRUE,TRUE
Ap3b1,AP3B1,TRUE,TRUE
Ap3b2,AP3B2,TRUE,TRUE
Ap4e1,AP4E1,TRUE,TRUE
Ap5b1,AP5B1,TRUE,TRUE
Apaf1,APAF1,TRUE,TRUE
Apba2,APBA2,TRUE,TRUE
Apbb2,APBB2,TRUE,TRUE
Apbb3,APBB3,TRUE,TRUE
Apc2,APC2,TRUE,TRUE
Apcdd1,APCDD1,TRUE,TRUE
Apob,APOB,TRUE,TRUE
Apol10b,APOL1,TRUE,TRUE
Apol11a,APOL1,TRUE,TRUE
Apol7c,APOL1,TRUE,TRUE
Apold1,APOLD1,TRUE,TRUE
Appl1,APPL1,TRUE,TRUE
Aqr,AQR,TRUE,TRUE
Arap1,ARAP1,TRUE,TRUE
Arap3,ARAP3,TRUE,TRUE
Arc,ARC,TRUE,TRUE
Arcn1,ARCN1,TRUE,TRUE
Arfgap3,ARFGAP3,TRUE,TRUE
Arfgef1,ARFGEF1,TRUE,TRUE
Arfgef2,ARFGEF2,TRUE,TRUE
Arfgef3,ARFGEF3,TRUE,TRUE
Arg2,ARG2,TRUE,TRUE
Arhgap10,ARHGAP10,TRUE,TRUE
Arhgap12,ARHGAP12,TRUE,TRUE
Arhgap20,ARHGAP20,TRUE,TRUE
Arhgap21,ARHGAP21,TRUE,TRUE
Arhgap22,ARHGAP22,TRUE,TRUE
Arhgap23,ARHGAP23,TRUE,TRUE
Arhgap25,ARHGAP25,TRUE,TRUE
Arhgap27,ARHGAP27,TRUE,TRUE
Arhgap31,ARHGAP31,TRUE,TRUE
Arhgap33,ARHGAP33,TRUE,TRUE
Arhgap33os,NA,FALSE,FALSE
Arhgap36,ARHGAP36,TRUE,TRUE
Arhgap40,ARHGAP40,TRUE,TRUE
Arhgap44,ARHGAP44,TRUE,TRUE
Arhgap45,ARHGAP45,TRUE,TRUE
Arhgap5,ARHGAP5,TRUE,TRUE
Arhgap6,ARHGAP6,TRUE,TRUE
Arhgdig,ARHGDIG,TRUE,TRUE
Arhgef10,ARHGEF10,TRUE,TRUE
Arhgef11,ARHGEF11,TRUE,TRUE
Arhgef12,ARHGEF12,TRUE,TRUE
Arhgef19,ARHGEF19,TRUE,TRUE
Arhgef40,ARHGEF40,TRUE,TRUE
Arhgef6,ARHGEF6,TRUE,TRUE
Arhgef7,ARHGEF7,TRUE,TRUE
Arid1a,ARID1A,TRUE,TRUE
Arid1b,ARID1B,TRUE,TRUE
Arid2,ARID2,TRUE,TRUE
Arid3b,ARID3B,TRUE,TRUE
Arid5b,ARID5B,TRUE,TRUE
Arl13b,ARL13B,TRUE,TRUE
Arl14ep,ARL14EP,TRUE,TRUE
Arl16,ARL16,TRUE,TRUE
Arl3,ARL3,TRUE,TRUE
Arl5c,ARL5C,TRUE,TRUE
Armc3,ARMC3,TRUE,TRUE
Armc4,NA,FALSE,FALSE
Armc6,ARMC6,TRUE,TRUE
Armc7,ARMC7,TRUE,TRUE
Armcx2,ARMCX2,TRUE,TRUE
Armcx4,ARMCX4,TRUE,TRUE
Armh3,ARMH3,TRUE,TRUE
Arpc1b,ARPC1B,TRUE,TRUE
Arrdc1,ARRDC1,TRUE,TRUE
Arrdc2,ARRDC2,TRUE,TRUE
Arsa,ARSA,TRUE,TRUE
Arsg,ARSG,TRUE,TRUE
Arsj,ARSJ,TRUE,TRUE
Arsk,ARSK,TRUE,TRUE
Art2b,NA,FALSE,FALSE
Asap1,ASAP1,TRUE,TRUE
Asap2,ASAP2,TRUE,TRUE
Asb1,ASB1,TRUE,TRUE
Asb14,ASB14,TRUE,TRUE
Asb15,ASB15,TRUE,TRUE
Asb2,ASB2,TRUE,TRUE
Asb3,ASB3,TRUE,TRUE
Asb4,ASB4,TRUE,TRUE
Asb7,ASB7,TRUE,TRUE
Asb8,ASB8,TRUE,TRUE
Ascc2,ASCC2,TRUE,TRUE
Ascc3,ASCC3,TRUE,TRUE
Asf1b,ASF1B,TRUE,TRUE
Asgr2,ASGR2,TRUE,TRUE
Ash1l,ASH1L,TRUE,TRUE
Ash2l,ASH2L,TRUE,TRUE
Asic2,ASIC2,TRUE,TRUE
Asic3,ASIC3,TRUE,TRUE
Asic4,ASIC4,TRUE,TRUE
Asic5,ASIC5,TRUE,TRUE
Aspdh,ASPDH,TRUE,TRUE
Asph,ASPH,TRUE,TRUE
Aspm,ASPM,TRUE,TRUE
Aspscr1,ASPSCR1,TRUE,TRUE
Ass1,ASS1,TRUE,TRUE
Aste1,ASTE1,TRUE,TRUE
Astl,ASTL,TRUE,TRUE
Astn1,ASTN1,TRUE,TRUE
Astn2,ASTN2,TRUE,TRUE
Asxl1,ASXL1,TRUE,TRUE
Asxl2,ASXL2,TRUE,TRUE
Asxl3,ASXL3,TRUE,TRUE
Atad3a,ATAD3A,TRUE,TRUE
Atad5,ATAD5,TRUE,TRUE
Ate1,ATE1,TRUE,TRUE
Atf3,ATF3,TRUE,TRUE
Atf4,ATF4,TRUE,TRUE
Atg16l1,ATG16L1,TRUE,TRUE
Atg2a,ATG2A,TRUE,TRUE
Atg4a-ps,ATG4A,TRUE,TRUE
Atg4c,ATG4C,TRUE,TRUE
Atg5,ATG5,TRUE,TRUE
Atg7,ATG7,TRUE,TRUE
Atm,ATM,TRUE,TRUE
Atp10a,ATP10A,TRUE,TRUE
Atp10d,ATP10D,TRUE,TRUE
Atp11a,ATP11A,TRUE,TRUE
Atp13a5,ATP13A5,TRUE,TRUE
Atp1a1,ATP1A1,TRUE,TRUE
Atp1a3,ATP1A3,TRUE,TRUE
Atp2a2,ATP2A2,TRUE,TRUE
Atp2b1,ATP2B1,TRUE,TRUE
Atp2b2,ATP2B2,TRUE,TRUE
Atp2c2,ATP2C2,TRUE,TRUE
Atp5e,ATP5F1E,FALSE,FALSE
Atp6ap1,ATP6AP1,TRUE,TRUE
Atp6v0a2,ATP6V0A2,TRUE,TRUE
Atp6v0e2,ATP6V0E2,TRUE,TRUE
Atp6v1a,ATP6V1A,TRUE,TRUE
Atp6v1h,ATP6V1H,TRUE,TRUE
Atp7a,ATP7A,TRUE,TRUE
Atp8a1,ATP8A1,TRUE,TRUE
Atp8a2,ATP8A2,TRUE,TRUE
Atp8b1,ATP8B1,TRUE,TRUE
Atp8b3,ATP8B3,TRUE,TRUE
Atp8b4,ATP8B4,TRUE,TRUE
Atp8b5,NA,FALSE,FALSE
Atp9a,ATP9A,TRUE,TRUE
Atpaf2,ATPAF2,TRUE,TRUE
Atr,ATR,TRUE,TRUE
Atrn,ATRN,TRUE,TRUE
Atrnl1,ATRNL1,TRUE,TRUE
Atrx,ATRX,TRUE,TRUE
Atxn2l,ATXN2L,TRUE,TRUE
Atxn7,ATXN7,TRUE,TRUE
Atxn7l1,ATXN7L1,TRUE,TRUE
Auh,AUH,TRUE,TRUE
Auts2,AUTS2,TRUE,TRUE
Avil,AVIL,TRUE,TRUE
Avl9,AVL9,TRUE,TRUE
Avpr2,AVPR2,TRUE,TRUE
Awat1,AWAT1,TRUE,TRUE
Aym1,NA,FALSE,FALSE
B230219D22Rik,C5orf24,FALSE,FALSE
B3galnt2,B3GALNT2,TRUE,TRUE
B3galt2,B3GALT2,TRUE,TRUE
B3galt5,B3GALT5,TRUE,TRUE
B3gnt4,B3GNT4,TRUE,TRUE
B4galnt1,B4GALNT1,TRUE,TRUE
B4galnt3,B4GALNT3,TRUE,TRUE
B4galnt4,B4GALNT4,TRUE,TRUE
B4galt7,B4GALT7,TRUE,TRUE
BB014433,NA,FALSE,FALSE
BC024139,NA,FALSE,FALSE
BC034090,KIAA1614,TRUE,TRUE
BC051665,CTSL,TRUE,TRUE
BC067074,NA,FALSE,FALSE
BC080695,NA,FALSE,FALSE
Babam2,BABAM2,TRUE,TRUE
Bag1,BAG1,TRUE,TRUE
Bag5,BAG5,TRUE,TRUE
Bag6,BAG6,TRUE,TRUE
Bahcc1,BAHCC1,TRUE,TRUE
Baiap2l2,BAIAP2L2,TRUE,TRUE
Baiap3,BAIAP3,TRUE,TRUE
Bank1,BANK1,TRUE,TRUE
Bap1,BAP1,TRUE,TRUE
Barhl2,BARHL2,TRUE,TRUE
Batf2,BATF2,TRUE,TRUE
Baz1a,BAZ1A,TRUE,TRUE
Baz2a,BAZ2A,TRUE,TRUE
Bbs10,BBS10,TRUE,TRUE
Bbs7,BBS7,TRUE,TRUE
Bbs9,BBS9,TRUE,TRUE
Bcar1,BCAR1,TRUE,TRUE
Bcas3,BCAS3,TRUE,TRUE
Bcat1,BCAT1,TRUE,TRUE
Bche,BCHE,TRUE,TRUE
Bckdk,BCKDK,TRUE,TRUE
Bcl11b,BCL11B,TRUE,TRUE
Bcl2a1d,BCL2A1,TRUE,TRUE
Bcl6,BCL6,TRUE,TRUE
Bcl7a,BCL7A,TRUE,TRUE
Bcl9,BCL9,TRUE,TRUE
Bclaf3,BCLAF3,TRUE,TRUE
Bcor,BCOR,TRUE,TRUE
Bcorl1,BCORL1,TRUE,TRUE
Bcr,BCR,TRUE,TRUE
Bdkrb1,BDKRB1,TRUE,TRUE
Bdkrb2,BDKRB2,TRUE,TRUE
Bdnf,BDNF,TRUE,TRUE
Bdp1,BDP1,TRUE,TRUE
Bend3,BEND3,TRUE,TRUE
Bend5,BEND5,TRUE,TRUE
Best2,BEST2,TRUE,TRUE
Best3,BEST3,TRUE,TRUE
Bfar,BFAR,TRUE,TRUE
Bhlhe40,BHLHE40,TRUE,TRUE
Bicra,BICRA,TRUE,TRUE
Bik,BIK,TRUE,TRUE
Bin1,BIN1,TRUE,TRUE
Bin2,BIN2,TRUE,TRUE
Birc6,BIRC6,TRUE,TRUE
Blk,BLK,TRUE,TRUE
Blm,BLM,TRUE,TRUE
Bloc1s2,BLOC1S2,TRUE,TRUE
Bmp1,BMP1,TRUE,TRUE
Bmp15,BMP15,TRUE,TRUE
Bmp2k,BMP2K,TRUE,TRUE
Bmp5,BMP5,TRUE,TRUE
Bmp6,BMP6,TRUE,TRUE
Bmp8b,BMP8A,TRUE,TRUE
Bmper,BMPER,TRUE,TRUE
Bmpr1a,BMPR1A,TRUE,TRUE
Bmpr2,BMPR2,TRUE,TRUE
Bnc1,BNC1,TRUE,TRUE
Bnip5,BNIP5,TRUE,TRUE
Boc,BOC,TRUE,TRUE
Bod1l,BOD1L1,TRUE,TRUE
Bola1,BOLA1,TRUE,TRUE
Bpifa1,BPIFA1,TRUE,TRUE
Bpifa3,BPIFA3,TRUE,TRUE
Bpifb1,BPIFB1,TRUE,TRUE
Bpifb3,BPIFB3,TRUE,TRUE
Bpifb4,BPIFB4,TRUE,TRUE
Bpifb5,NA,FALSE,FALSE
Bpifb6,BPIFB6,TRUE,TRUE
Braf,BRAF,TRUE,TRUE
Brap,BRAP,TRUE,TRUE
Brca1,BRCA1,TRUE,TRUE
Brca2,BRCA2,TRUE,TRUE
Brcc3,BRCC3,TRUE,TRUE
Brd2,BRD2,TRUE,TRUE
Brdt,BRDT,TRUE,TRUE
Bricd5,BRICD5,TRUE,TRUE
Brinp1,BRINP1,TRUE,TRUE
Brinp2,BRINP2,TRUE,TRUE
Brip1,BRIP1,TRUE,TRUE
Brpf1,BRPF1,TRUE,TRUE
Brpf3,BRPF3,TRUE,TRUE
Brwd1,BRWD1,TRUE,TRUE
Bsnd,BSND,TRUE,TRUE
Bst2,BST2,TRUE,TRUE
Btaf1,BTAF1,TRUE,TRUE
Btbd18,BTBD18,TRUE,TRUE
Btbd2,BTBD2,TRUE,TRUE
Btbd7,BTBD7,TRUE,TRUE
Btg4,BTG4,TRUE,TRUE
Btn2a2,BTN2A1,TRUE,TRUE
Btnl1,NA,FALSE,FALSE
Btnl2,BTNL2,TRUE,TRUE
Btnl4,NA,FALSE,FALSE
Btnl9,BTNL9,TRUE,TRUE
Bub1b,BUB1B,TRUE,TRUE
Bub3,BUB3,TRUE,TRUE
Bud13,BUD13,TRUE,TRUE
Bzw1,BZW1,TRUE,TRUE
C130026I21Rik,SP140,TRUE,TRUE
C1qb,C1QB,TRUE,TRUE
C1qbp,C1QBP,FALSE,FALSE
C1qc,C1QC,TRUE,TRUE
C1ra,C1R,TRUE,TRUE
C1rl,C1RL,TRUE,TRUE
C2cd2l,C2CD2L,TRUE,TRUE
C2cd3,C2CD3,TRUE,TRUE
C2cd5,C2CD5,TRUE,TRUE
C3,C3,TRUE,TRUE
C87977,NA,FALSE,FALSE
C8g,C8G,TRUE,TRUE
C9orf72,C9orf72,FALSE,FALSE
CK137956,C1orf94,FALSE,FALSE
Cabin1,CABIN1,TRUE,TRUE
Cabs1,CABS1,TRUE,TRUE
Cacna1a,CACNA1A,TRUE,TRUE
Cacna1b,CACNA1B,TRUE,TRUE
Cacna1d,CACNA1D,TRUE,TRUE
Cacna1e,CACNA1E,TRUE,TRUE
Cacna1f,CACNA1F,TRUE,TRUE
Cacna1g,CACNA1G,TRUE,TRUE
Cacna1h,CACNA1H,TRUE,TRUE
Cacna1s,CACNA1S,TRUE,TRUE
Cacna2d1,CACNA2D1,TRUE,TRUE
Cacna2d3,CACNA2D3,TRUE,TRUE
Cacna2d4,CACNA2D4,TRUE,TRUE
