gene_symbol,gene_id,protein_id,gene_length_bp,n_mutations,is_candidate,candidate_group,gene_class
4932438A13Rik,ENSMUSG00000037270,ENSMUSP00000117808,15018,5,FALSE,NA,Other genes
4933402D24Rik,ENSMUSG00000025961,ENSMUSP00000027102,504,1,FALSE,NA,Other genes
4933402E13Rik,ENSMUSG00000045330,ENSMUSP00000056260,1290,2,FALSE,NA,Other genes
4933402N03Rik,ENSMUSG00000013668,ENSMUSP00000070291,990,1,FALSE,NA,Other genes
4933412E24Rik,ENSMUSG00000071749,ENSMUSP00000094154,1542,1,FALSE,NA,Other genes
4933414I15Rik,ENSMUSG00000072983,ENSMUSP00000104751,402,1,FALSE,NA,Other genes
4933417A18Rik,ENSMUSG00000021415,ENSMUSP00000125324,684,1,FALSE,NA,Other genes
5330417C22Rik,ENSMUSG00000040412,ENSMUSP00000102236,3042,2,FALSE,NA,Other genes
5430427O19Rik,ENSMUSG00000025058,ENSMUSP00000109609,897,1,FALSE,NA,Other genes
6030458C11Rik,ENSMUSG00000022195,ENSMUSP00000055656,1329,1,FALSE,NA,Other genes
6430571L13Rik,ENSMUSG00000037977,ENSMUSP00000047093,495,2,FALSE,NA,Other genes
6430628N08Rik,ENSMUSG00000034185,ENSMUSP00000146242,534,1,FALSE,NA,Other genes
8030462N17Rik,ENSMUSG00000047466,ENSMUSP00000074225,1200,1,FALSE,NA,Other genes
8030474K03Rik,ENSMUSG00000046774,ENSMUSP00000133189,1665,1,FALSE,NA,Other genes
9130008F23Rik,ENSMUSG00000054951,ENSMUSP00000156735,546,1,FALSE,NA,Other genes
9130019O22Rik,ENSMUSG00000030823,ENSMUSP00000038195,1632,1,FALSE,NA,Other genes
9130230L23Rik,ENSMUSG00000054598,ENSMUSP00000143918,492,1,FALSE,NA,Other genes
9430015G10Rik,ENSMUSG00000059939,ENSMUSP00000072366,600,1,FALSE,NA,Other genes
9530003J23Rik,ENSMUSG00000020177,ENSMUSP00000125436,456,1,FALSE,NA,Other genes
9530053A07Rik,ENSMUSG00000078776,ENSMUSP00000114986,7746,1,FALSE,NA,Other genes
9930021J03Rik,ENSMUSG00000046138,ENSMUSP00000135473,6084,1,FALSE,NA,Other genes
A1cf,ENSMUSG00000052595,ENSMUSP00000075235,1788,3,FALSE,NA,Other genes
A2m,ENSMUSG00000030111,ENSMUSP00000032203,4425,1,FALSE,NA,Other genes
A3galt2,ENSMUSG00000028794,ENSMUSP00000030585,1113,1,FALSE,NA,Other genes
A530016L24Rik,ENSMUSG00000043122,ENSMUSP00000056220,498,1,FALSE,NA,Other genes
A530032D15Rik,ENSMUSG00000089844,ENSMUSP00000123750,648,3,FALSE,NA,Other genes
A530064D06Rik,ENSMUSG00000043939,ENSMUSP00000055935,690,1,FALSE,NA,Other genes
AC147806.1,ENSMUSG00000118591,ENSMUSP00000159208,891,1,FALSE,NA,Other genes
AC167036.1,ENSMUSG00000118590,ENSMUSP00000159245,891,7,FALSE,NA,Other genes
AU015836,ENSMUSG00000081044,ENSMUSP00000130711,792,1,FALSE,NA,Other genes
AU040320,ENSMUSG00000028830,ENSMUSP00000099667,3258,1,FALSE,NA,Other genes
AV320801,ENSMUSG00000054994,ENSMUSP00000068753,1404,1,FALSE,NA,Other genes
AW551984,ENSMUSG00000038112,ENSMUSP00000042582,2415,1,FALSE,NA,Other genes
AW822073,ENSMUSG00000058537,ENSMUSP00000144714,1959,8,FALSE,NA,Other genes
Aadac,ENSMUSG00000027761,ENSMUSP00000029325,1197,1,FALSE,NA,Other genes
Aadacl4fm2,ENSMUSG00000078506,ENSMUSP00000101374,1221,1,FALSE,NA,Other genes
Aadacl4fm5,ENSMUSG00000078504,ENSMUSP00000101372,1182,2,FALSE,NA,Other genes
Aak1,ENSMUSG00000057230,ENSMUSP00000086948,2880,2,FALSE,NA,Other genes
Aard,ENSMUSG00000068522,ENSMUSP00000087479,504,1,FALSE,NA,Other genes
Aars,ENSMUSG00000031960,ENSMUSP00000034441,2907,1,FALSE,NA,Other genes
Aars2,ENSMUSG00000023938,ENSMUSP00000024733,2943,1,FALSE,NA,Other genes
Abca1,ENSMUSG00000015243,ENSMUSP00000030010,6786,3,FALSE,NA,Other genes
Abca13,ENSMUSG00000004668,ENSMUSP00000040465,15105,2,FALSE,NA,Other genes
Abca14,ENSMUSG00000062017,ENSMUSP00000081690,5052,1,FALSE,NA,Other genes
Abca15,ENSMUSG00000054746,ENSMUSP00000112821,5007,2,FALSE,NA,Other genes
Abca16,ENSMUSG00000051900,ENSMUSP00000112736,5037,2,FALSE,NA,Other genes
Abca2,ENSMUSG00000026944,ENSMUSP00000099983,7302,1,FALSE,NA,Other genes
Abca3,ENSMUSG00000024130,ENSMUSP00000045285,5115,1,FALSE,NA,Other genes
Abca4,ENSMUSG00000028125,ENSMUSP00000013995,6933,4,FALSE,NA,Other genes
Abca6,ENSMUSG00000044749,ENSMUSP00000035458,4875,2,FALSE,NA,Other genes
Abcb11,ENSMUSG00000027048,ENSMUSP00000099771,3966,3,FALSE,NA,Other genes
Abcb1a,ENSMUSG00000040584,ENSMUSP00000041204,3831,6,FALSE,NA,Other genes
Abcb4,ENSMUSG00000042476,ENSMUSP00000003717,3831,2,FALSE,NA,Other genes
Abcb7,ENSMUSG00000031333,ENSMUSP00000033695,2259,1,FALSE,NA,Other genes
Abcc1,ENSMUSG00000023088,ENSMUSP00000097743,4587,1,FALSE,NA,Other genes
Abcc2,ENSMUSG00000025194,ENSMUSP00000026208,4632,9,FALSE,NA,Other genes
Abcc3,ENSMUSG00000020865,ENSMUSP00000136343,4572,1,FALSE,NA,Other genes
Abcc9,ENSMUSG00000030249,ENSMUSP00000098390,4641,2,FALSE,NA,Other genes
Abcd2,ENSMUSG00000055782,ENSMUSP00000068940,2226,1,FALSE,NA,Other genes
Abcd4,ENSMUSG00000021240,ENSMUSP00000021666,1821,1,FALSE,NA,Other genes
Abcg1,ENSMUSG00000024030,ENSMUSP00000024829,2001,1,FALSE,NA,Other genes
Abcg4,ENSMUSG00000032131,ENSMUSP00000034648,1941,2,FALSE,NA,Other genes
Abcg8,ENSMUSG00000024254,ENSMUSP00000035246,2022,1,FALSE,NA,Other genes
Abhd13,ENSMUSG00000040396,ENSMUSP00000116130,1014,1,FALSE,NA,Other genes
Abhd15,ENSMUSG00000000686,ENSMUSP00000091541,1380,1,FALSE,NA,Other genes
Abhd16a,ENSMUSG00000007036,ENSMUSP00000007251,1677,1,FALSE,NA,Other genes
Abhd17b,ENSMUSG00000047368,ENSMUSP00000056099,867,1,FALSE,NA,Other genes
Abhd6,ENSMUSG00000025277,ENSMUSP00000129169,1011,1,FALSE,NA,Other genes
Abi3bp,ENSMUSG00000035258,ENSMUSP00000156096,4914,1,FALSE,NA,Other genes
Abl2,ENSMUSG00000026596,ENSMUSP00000027888,3549,1,FALSE,NA,Other genes
Abtb1,ENSMUSG00000030083,ENSMUSP00000032169,1437,1,FALSE,NA,Other genes
Abtb2,ENSMUSG00000032724,ENSMUSP00000075566,3075,1,FALSE,NA,Other genes
Acaca,ENSMUSG00000020532,ENSMUSP00000099490,7038,1,FALSE,NA,Other genes
Acad10,ENSMUSG00000029456,ENSMUSP00000031412,3210,1,FALSE,NA,Other genes
Acad11,ENSMUSG00000090150,ENSMUSP00000043424,2340,1,FALSE,NA,Other genes
Acadm,ENSMUSG00000062908,ENSMUSP00000072483,1266,1,FALSE,NA,Other genes
Acadsb,ENSMUSG00000030861,ENSMUSP00000113948,1398,2,FALSE,NA,Other genes
Acan,ENSMUSG00000030607,ENSMUSP00000032835,6399,2,FALSE,NA,Other genes
Acap3,ENSMUSG00000029033,ENSMUSP00000101209,2502,2,FALSE,NA,Other genes
Acat3,ENSMUSG00000062480,ENSMUSP00000125454,1194,1,FALSE,NA,Other genes
Ace,ENSMUSG00000020681,ENSMUSP00000001963,3939,1,FALSE,NA,Other genes
Ache,ENSMUSG00000023328,ENSMUSP00000024099,1845,1,FALSE,NA,Other genes
Acin1,ENSMUSG00000022185,ENSMUSP00000022793,4017,1,FALSE,NA,Other genes
Ackr1,ENSMUSG00000037872,ENSMUSP00000045134,1005,2,FALSE,NA,Other genes
Acnat1,ENSMUSG00000070985,ENSMUSP00000092702,1251,2,FALSE,NA,Other genes
Acnat2,ENSMUSG00000060317,ENSMUSP00000080256,1263,1,FALSE,NA,Other genes
Aco1,ENSMUSG00000028405,ENSMUSP00000100038,2670,3,FALSE,NA,Other genes
Acod1,ENSMUSG00000022126,ENSMUSP00000022722,1467,2,FALSE,NA,Other genes
Acot5,ENSMUSG00000042540,ENSMUSP00000042019,1266,1,FALSE,NA,Other genes
Acot7,ENSMUSG00000028937,ENSMUSP00000129121,1155,2,FALSE,NA,Other genes
Acot9,ENSMUSG00000025287,ENSMUSP00000026324,1320,1,FALSE,NA,Other genes
Acox1,ENSMUSG00000020777,ENSMUSP00000063325,1986,1,FALSE,NA,Other genes
Acox2,ENSMUSG00000021751,ENSMUSP00000022271,2046,1,FALSE,NA,Other genes
Acp5,ENSMUSG00000001348,ENSMUSP00000065425,984,1,FALSE,NA,Other genes
Acp7,ENSMUSG00000037469,ENSMUSP00000045437,1491,1,FALSE,NA,Other genes
Acrbp,ENSMUSG00000072770,ENSMUSP00000085632,1623,1,FALSE,NA,Other genes
Acsbg1,ENSMUSG00000032281,ENSMUSP00000034822,2166,2,FALSE,NA,Other genes
Acsbg2,ENSMUSG00000024207,ENSMUSP00000042352,2004,1,FALSE,NA,Other genes
Acsbg3,ENSMUSG00000024209,ENSMUSP00000025048,2118,2,FALSE,NA,Other genes
Acsf2,ENSMUSG00000076435,ENSMUSP00000099453,1848,2,FALSE,NA,Other genes
Acsm2,ENSMUSG00000030945,ENSMUSP00000095690,1803,1,FALSE,NA,Other genes
Acsm3,ENSMUSG00000030935,ENSMUSP00000102139,1869,2,FALSE,NA,Other genes
Acsm5,ENSMUSG00000030972,ENSMUSP00000063416,1737,1,FALSE,NA,Other genes
Acss1,ENSMUSG00000027452,ENSMUSP00000028944,2049,1,FALSE,NA,Other genes
Acss3,ENSMUSG00000035948,ENSMUSP00000128209,2049,2,FALSE,NA,Other genes
Acte1,ENSMUSG00000031085,ENSMUSP00000115809,1119,1,FALSE,NA,Other genes
Actl11,ENSMUSG00000066368,ENSMUSP00000082150,3624,2,FALSE,NA,Other genes
Actn1,ENSMUSG00000015143,ENSMUSP00000021554,2679,1,FALSE,NA,Other genes
Actr1a,ENSMUSG00000025228,ENSMUSP00000039844,1131,1,FALSE,NA,Other genes
Actr1b,ENSMUSG00000037351,ENSMUSP00000047326,1131,2,FALSE,NA,Other genes
Actr2,ENSMUSG00000020152,ENSMUSP00000000137,1185,1,FALSE,NA,Other genes
Actr3,ENSMUSG00000026341,ENSMUSP00000137503,1257,1,FALSE,NA,Other genes
Actr5,ENSMUSG00000037761,ENSMUSP00000046658,1827,2,FALSE,NA,Other genes
Actr6,ENSMUSG00000019948,ENSMUSP00000020109,1191,2,FALSE,NA,Other genes
Adad1,ENSMUSG00000027719,ENSMUSP00000115260,1860,1,FALSE,NA,Other genes
Adam11,ENSMUSG00000020926,ENSMUSP00000069466,2337,1,FALSE,NA,Other genes
Adam15,ENSMUSG00000028041,ENSMUSP00000139147,2595,2,FALSE,NA,Other genes
Adam17,ENSMUSG00000052593,ENSMUSP00000099087,2541,1,FALSE,NA,Other genes
Adam19,ENSMUSG00000011256,ENSMUSP00000011400,2763,1,FALSE,NA,Other genes
Adam20,ENSMUSG00000046282,ENSMUSP00000057794,2283,2,FALSE,NA,Other genes
Adam21,ENSMUSG00000008438,ENSMUSP00000008582,2190,1,FALSE,NA,Other genes
Adam23,ENSMUSG00000025964,ENSMUSP00000084633,2490,2,FALSE,NA,Other genes
Adam26a,ENSMUSG00000048516,ENSMUSP00000058256,2094,2,FALSE,NA,Other genes
Adam26b,ENSMUSG00000063900,ENSMUSP00000079032,2100,1,FALSE,NA,Other genes
Adam29,ENSMUSG00000046258,ENSMUSP00000054292,2292,3,FALSE,NA,Other genes
Adam33,ENSMUSG00000027318,ENSMUSP00000105861,2394,2,FALSE,NA,Other genes
Adam34,ENSMUSG00000079058,ENSMUSP00000106041,2145,1,FALSE,NA,Other genes
Adam34l,ENSMUSG00000050190,ENSMUSP00000058858,2211,1,FALSE,NA,Other genes
Adam39,ENSMUSG00000054033,ENSMUSP00000065783,2271,1,FALSE,NA,Other genes
Adam5,ENSMUSG00000031554,ENSMUSP00000052661,2316,1,FALSE,NA,Other genes
Adam9,ENSMUSG00000031555,ENSMUSP00000146545,2592,1,FALSE,NA,Other genes
Adamts15,ENSMUSG00000033453,ENSMUSP00000067022,2853,1,FALSE,NA,Other genes
Adamts20,ENSMUSG00000022449,ENSMUSP00000036330,5721,1,FALSE,NA,Other genes
Adamts5,ENSMUSG00000022894,ENSMUSP00000023611,2793,1,FALSE,NA,Other genes
Adamts7,ENSMUSG00000032363,ENSMUSP00000108682,4974,3,FALSE,NA,Other genes
Adamts8,ENSMUSG00000031994,ENSMUSP00000069644,2718,1,FALSE,NA,Other genes
Adamtsl1,ENSMUSG00000066113,ENSMUSP00000102796,5262,1,FALSE,NA,Other genes
Adamtsl2,ENSMUSG00000036040,ENSMUSP00000088774,2874,1,FALSE,NA,Other genes
Adamtsl3,ENSMUSG00000070469,ENSMUSP00000133637,5121,1,FALSE,NA,Other genes
Adamtsl4,ENSMUSG00000015850,ENSMUSP00000113424,3111,1,FALSE,NA,Other genes
Adar,ENSMUSG00000027951,ENSMUSP00000103028,3537,1,FALSE,NA,Other genes
Adarb1,ENSMUSG00000020262,ENSMUSP00000095976,2136,1,FALSE,NA,Other genes
Adat2,ENSMUSG00000019808,ENSMUSP00000019944,576,1,FALSE,NA,Other genes
Adck5,ENSMUSG00000022550,ENSMUSP00000125055,1749,1,FALSE,NA,Other genes
Adcy10,ENSMUSG00000026567,ENSMUSP00000027852,4845,6,FALSE,NA,Other genes
Adcy2,ENSMUSG00000021536,ENSMUSP00000022013,3288,1,FALSE,NA,Other genes
Adcy3,ENSMUSG00000020654,ENSMUSP00000115406,3438,1,FALSE,NA,Other genes
Adcy4,ENSMUSG00000022220,ENSMUSP00000130530,3234,2,FALSE,NA,Other genes
Adcy6,ENSMUSG00000022994,ENSMUSP00000093939,3507,2,FALSE,NA,Other genes
Adcy9,ENSMUSG00000005580,ENSMUSP00000113498,4062,2,FALSE,NA,Other genes
Adcyap1r1,ENSMUSG00000029778,ENSMUSP00000126994,1575,1,FALSE,NA,Other genes
Add1,ENSMUSG00000029106,ENSMUSP00000109979,2208,1,FALSE,NA,Other genes
Add3,ENSMUSG00000025026,ENSMUSP00000158149,2121,1,FALSE,NA,Other genes
Adgrb2,ENSMUSG00000028782,ENSMUSP00000030571,4734,1,FALSE,NA,Other genes
Adgrb3,ENSMUSG00000033569,ENSMUSP00000119804,4569,1,FALSE,NA,Other genes
Adgrg3,ENSMUSG00000060470,ENSMUSP00000051079,1629,1,FALSE,NA,Other genes
Adgrg4,ENSMUSG00000053852,ENSMUSP00000116634,9222,3,FALSE,NA,Other genes
Adgrg5,ENSMUSG00000061577,ENSMUSP00000132628,1575,1,FALSE,NA,Other genes
Adgrg6,ENSMUSG00000039116,ENSMUSP00000158717,3663,1,FALSE,NA,Other genes
Adgrv1,ENSMUSG00000069170,ENSMUSP00000093245,18897,4,FALSE,NA,Other genes
Adh5,ENSMUSG00000028138,ENSMUSP00000005964,1125,1,FALSE,NA,Other genes
Adh6b,ENSMUSG00000074206,ENSMUSP00000148703,1155,2,FALSE,NA,Other genes
Adi1,ENSMUSG00000020629,ENSMUSP00000020957,540,1,FALSE,NA,Other genes
Adipoq,ENSMUSG00000022878,ENSMUSP00000023593,744,2,FALSE,NA,Other genes
Adipor2,ENSMUSG00000030168,ENSMUSP00000032272,1161,1,FALSE,NA,Other genes
Adnp,ENSMUSG00000051149,ENSMUSP00000056809,3327,2,FALSE,NA,Other genes
Adora2b,ENSMUSG00000018500,ENSMUSP00000018644,999,1,FALSE,NA,Other genes
Adprh,ENSMUSG00000002844,ENSMUSP00000002923,1089,1,FALSE,NA,Other genes
Adra1a,ENSMUSG00000045875,ENSMUSP00000053703,1401,2,FALSE,NA,Other genes
Adra1b,ENSMUSG00000050541,ENSMUSP00000070200,1548,1,FALSE,NA,Other genes
Adra2a,ENSMUSG00000033717,ENSMUSP00000036203,1398,1,FALSE,NA,Other genes
Adssl1,ENSMUSG00000011148,ENSMUSP00000136572,1443,1,FALSE,NA,Other genes
Aebp2,ENSMUSG00000030232,ENSMUSP00000092993,1515,1,FALSE,NA,Other genes
Afap1,ENSMUSG00000029094,ENSMUSP00000067779,2196,1,FALSE,NA,Other genes
Afdn,ENSMUSG00000068036,ENSMUSP00000119153,5484,1,FALSE,NA,Other genes
Aff3,ENSMUSG00000037138,ENSMUSP00000159147,3765,2,FALSE,NA,Other genes
Afg1l,ENSMUSG00000038302,ENSMUSP00000036149,1443,2,FALSE,NA,Other genes
Afg3l1,ENSMUSG00000031967,ENSMUSP00000001520,2370,2,FALSE,NA,Other genes
Aftph,ENSMUSG00000049659,ENSMUSP00000121612,2796,1,FALSE,NA,Other genes
Agbl2,ENSMUSG00000040812,ENSMUSP00000107106,2589,1,FALSE,NA,Other genes
Agbl5,ENSMUSG00000029165,ENSMUSP00000143808,2661,2,FALSE,NA,Other genes
Ager,ENSMUSG00000015452,ENSMUSP00000015596,1209,1,FALSE,NA,Other genes
Agfg1,ENSMUSG00000026159,ENSMUSP00000140785,1686,1,FALSE,NA,Other genes
Aggf1,ENSMUSG00000021681,ENSMUSP00000022189,2136,3,FALSE,NA,Other genes
Agmo,ENSMUSG00000050103,ENSMUSP00000051441,1344,1,FALSE,NA,Other genes
Agpat5,ENSMUSG00000031467,ENSMUSP00000117025,1098,1,FALSE,NA,Other genes
Agr2,ENSMUSG00000020581,ENSMUSP00000020898,528,1,FALSE,NA,Other genes
Agrn,ENSMUSG00000041936,ENSMUSP00000137931,6105,2,FALSE,NA,Other genes
Agt,ENSMUSG00000031980,ENSMUSP00000066488,1449,1,FALSE,NA,Other genes
Agtr1b,ENSMUSG00000054988,ENSMUSP00000068298,1080,1,FALSE,NA,Other genes
Ahctf1,ENSMUSG00000026491,ENSMUSP00000027768,6732,1,FALSE,NA,Other genes
Ahdc1,ENSMUSG00000037692,ENSMUSP00000101535,4785,1,FALSE,NA,Other genes
Ahnak,ENSMUSG00000069833,ENSMUSP00000090633,16971,3,FALSE,NA,Other genes
Ahsa2,ENSMUSG00000020288,ENSMUSP00000020529,996,1,FALSE,NA,Other genes
Aifm2,ENSMUSG00000020085,ENSMUSP00000078998,1143,1,FALSE,NA,Other genes
Aipl1,ENSMUSG00000040554,ENSMUSP00000036279,987,1,FALSE,NA,Other genes
Ajm1,ENSMUSG00000029419,ENSMUSP00000109855,2925,1,FALSE,NA,Other genes
Ajuba,ENSMUSG00000022178,ENSMUSP00000056977,1644,2,FALSE,NA,Other genes
Ak1,ENSMUSG00000026817,ENSMUSP00000068479,633,1,FALSE,NA,Other genes
Akap12,ENSMUSG00000038587,ENSMUSP00000035829,5055,1,FALSE,NA,Other genes
Akap13,ENSMUSG00000066406,ENSMUSP00000147237,8385,3,FALSE,NA,Other genes
Akap4,ENSMUSG00000050089,ENSMUSP00000050962,2550,1,FALSE,NA,Other genes
Akap6,ENSMUSG00000061603,ENSMUSP00000093406,6924,1,FALSE,NA,Other genes
Akap9,ENSMUSG00000040407,ENSMUSP00000046129,11340,9,FALSE,NA,Other genes
Akr1b10,ENSMUSG00000061758,ENSMUSP00000039114,951,2,FALSE,NA,Other genes
Akr1b7,ENSMUSG00000052131,ENSMUSP00000007449,951,1,FALSE,NA,Other genes
Akr1c12,ENSMUSG00000021211,ENSMUSP00000021632,972,1,FALSE,NA,Other genes
Akr1c6,ENSMUSG00000021210,ENSMUSP00000021630,972,1,FALSE,NA,Other genes
Akr1d1,ENSMUSG00000038641,ENSMUSP00000048830,978,1,FALSE,NA,Other genes
Akt2,ENSMUSG00000004056,ENSMUSP00000103981,1446,1,FALSE,NA,Other genes
Alas1,ENSMUSG00000032786,ENSMUSP00000108143,1929,2,FALSE,NA,Other genes
Albfm1,ENSMUSG00000070690,ENSMUSP00000092198,1863,1,FALSE,NA,Other genes
Aldh1b1,ENSMUSG00000035561,ENSMUSP00000041260,1560,1,FALSE,NA,Other genes
Aldh1l1,ENSMUSG00000030088,ENSMUSP00000114304,2709,2,FALSE,NA,Other genes
Aldh4a1,ENSMUSG00000028737,ENSMUSP00000043821,1689,2,FALSE,NA,Other genes
Aldh6a1,ENSMUSG00000021238,ENSMUSP00000082288,1608,1,FALSE,NA,Other genes
Aldh9a1,ENSMUSG00000026687,ENSMUSP00000028004,1557,2,FALSE,NA,Other genes
Alg6,ENSMUSG00000073792,ENSMUSP00000095574,1524,1,FALSE,NA,Other genes
Alk,ENSMUSG00000055471,ENSMUSP00000083840,4866,2,FALSE,NA,Other genes
Alkbh3,ENSMUSG00000040174,ENSMUSP00000106871,864,1,FALSE,NA,Other genes
Alkbh8,ENSMUSG00000025899,ENSMUSP00000061511,1995,1,FALSE,NA,Other genes
Alms1,ENSMUSG00000063810,ENSMUSP00000148796,11163,1,FALSE,NA,Other genes
Alox15,ENSMUSG00000018924,ENSMUSP00000019068,1992,2,FALSE,NA,Other genes
Alox5,ENSMUSG00000025701,ENSMUSP00000026795,2025,1,FALSE,NA,Other genes
Alpi,ENSMUSG00000079440,ENSMUSP00000108895,1665,1,FALSE,NA,Other genes
Alpk1,ENSMUSG00000028028,ENSMUSP00000143223,3696,1,FALSE,NA,Other genes
Alpk2,ENSMUSG00000032845,ENSMUSP00000048752,6435,2,FALSE,NA,Other genes
Alpk3,ENSMUSG00000038763,ENSMUSP00000102971,5043,1,FALSE,NA,Other genes
Alppl2,ENSMUSG00000026246,ENSMUSP00000027455,1590,1,FALSE,NA,Other genes
Als2,ENSMUSG00000026024,ENSMUSP00000027178,4956,1,FALSE,NA,Other genes
Alx3,ENSMUSG00000014603,ENSMUSP00000014747,1032,1,FALSE,NA,Other genes
Ambp,ENSMUSG00000028356,ENSMUSP00000030041,1050,2,FALSE,NA,Other genes
Ambra1,ENSMUSG00000040506,ENSMUSP00000049258,3903,1,FALSE,NA,Other genes
Amdhd1,ENSMUSG00000015890,ENSMUSP00000016034,1281,1,FALSE,NA,Other genes
Amer1,ENSMUSG00000050332,ENSMUSP00000109502,3399,2,FALSE,NA,Other genes
Amer2,ENSMUSG00000021986,ENSMUSP00000022561,2019,1,FALSE,NA,Other genes
Amer3,ENSMUSG00000045174,ENSMUSP00000054748,2343,1,FALSE,NA,Other genes
Amfr,ENSMUSG00000031751,ENSMUSP00000052258,1920,1,FALSE,NA,Other genes
Amigo3,ENSMUSG00000032593,ENSMUSP00000082137,1527,1,FALSE,NA,Other genes
Amot,ENSMUSG00000041688,ENSMUSP00000108455,3381,3,FALSE,NA,Other genes
Amotl1,ENSMUSG00000013076,ENSMUSP00000152834,3018,2,FALSE,NA,Other genes
Amotl2,ENSMUSG00000032531,ENSMUSP00000121113,2418,1,FALSE,NA,Other genes
Ampd1,ENSMUSG00000070385,ENSMUSP00000088217,2238,1,FALSE,NA,Other genes
Ampd2,ENSMUSG00000027889,ENSMUSP00000077946,2475,1,FALSE,NA,Other genes
Amph,ENSMUSG00000021314,ENSMUSP00000159202,2463,1,FALSE,NA,Other genes
Amt,ENSMUSG00000032607,ENSMUSP00000035230,1212,1,FALSE,NA,Other genes
