iteration,n_sampled_genes,mutation_type,null_count
24,30,Stop gain/loss,3
24,30,DBS,0
24,30,Splice,3
25,30,Missense,40
25,30,Insertion,0
25,30,Deletion,0
25,30,Stop gain/loss,3
25,30,DBS,3
25,30,Splice,1
26,30,Missense,40
26,30,Insertion,0
26,30,Deletion,1
26,30,Stop gain/loss,13
26,30,DBS,0
26,30,Splice,1
27,30,Missense,42
27,30,Insertion,4
27,30,Deletion,1
27,30,Stop gain/loss,0
27,30,DBS,0
27,30,Splice,4
28,30,Missense,33
28,30,Insertion,0
28,30,Deletion,1
28,30,Stop gain/loss,5
28,30,DBS,0
28,30,Splice,1
29,30,Missense,60
29,30,Insertion,1
29,30,Deletion,2
29,30,Stop gain/loss,6
29,30,DBS,6
29,30,Splice,13
30,30,Missense,31
30,30,Insertion,1
30,30,Deletion,0
30,30,Stop gain/loss,7
30,30,DBS,0
30,30,Splice,0
31,30,Missense,30
31,30,Insertion,1
31,30,Deletion,2
31,30,Stop gain/loss,1
31,30,DBS,1
31,30,Splice,1
32,30,Missense,30
32,30,Insertion,0
32,30,Deletion,4
32,30,Stop gain/loss,6
32,30,DBS,0
32,30,Splice,2
33,30,Missense,37
33,30,Insertion,1
33,30,Deletion,2
33,30,Stop gain/loss,1
33,30,DBS,2
33,30,Splice,3
34,30,Missense,55
34,30,Insertion,0
34,30,Deletion,12
34,30,Stop gain/loss,2
34,30,DBS,0
34,30,Splice,1
35,30,Missense,29
35,30,Insertion,0
35,30,Deletion,6
35,30,Stop gain/loss,2
35,30,DBS,0
35,30,Splice,4
36,30,Missense,54
36,30,Insertion,1
36,30,Deletion,2
36,30,Stop gain/loss,2
36,30,DBS,0
36,30,Splice,0
37,30,Missense,33
37,30,Insertion,0
37,30,Deletion,1
37,30,Stop gain/loss,5
37,30,DBS,0
37,30,Splice,1
38,30,Missense,46
38,30,Insertion,2
38,30,Deletion,4
38,30,Stop gain/loss,7
38,30,DBS,0
38,30,Splice,3
39,30,Missense,36
39,30,Insertion,0
39,30,Deletion,4
39,30,Stop gain/loss,3
39,30,DBS,0
39,30,Splice,2
40,30,Missense,31
40,30,Insertion,1
40,30,Deletion,1
40,30,Stop gain/loss,5
40,30,DBS,1
40,30,Splice,2
41,30,Missense,45
41,30,Insertion,2
41,30,Deletion,1
41,30,Stop gain/loss,6
41,30,DBS,2
41,30,Splice,1
42,30,Missense,35
42,30,Insertion,0
42,30,Deletion,4
42,30,Stop gain/loss,3
42,30,DBS,0
42,30,Splice,1
43,30,Missense,32
43,30,Insertion,0
43,30,Deletion,10
43,30,Stop gain/loss,1
43,30,DBS,0
43,30,Splice,2
44,30,Missense,32
44,30,Insertion,0
44,30,Deletion,4
44,30,Stop gain/loss,2
44,30,DBS,1
44,30,Splice,3
45,30,Missense,45
45,30,Insertion,1
45,30,Deletion,23
45,30,Stop gain/loss,1
45,30,DBS,1
45,30,Splice,1
46,30,Missense,38
46,30,Insertion,1
46,30,Deletion,23
46,30,Stop gain/loss,2
46,30,DBS,0
46,30,Splice,6
47,30,Missense,33
47,30,Insertion,0
47,30,Deletion,7
47,30,Stop gain/loss,6
47,30,DBS,1
47,30,Splice,0
48,30,Missense,40
48,30,Insertion,0
48,30,Deletion,2
48,30,Stop gain/loss,4
48,30,DBS,0
48,30,Splice,1
49,30,Missense,36
49,30,Insertion,1
49,30,Deletion,1
49,30,Stop gain/loss,5
49,30,DBS,0
49,30,Splice,2
50,30,Missense,33
50,30,Insertion,1
50,30,Deletion,4
50,30,Stop gain/loss,5
50,30,DBS,2
50,30,Splice,3
51,30,Missense,38
51,30,Insertion,0
51,30,Deletion,0
51,30,Stop gain/loss,1
51,30,DBS,1
51,30,Splice,2
52,30,Missense,32
52,30,Insertion,0
52,30,Deletion,1
52,30,Stop gain/loss,7
52,30,DBS,0
52,30,Splice,3
53,30,Missense,34
53,30,Insertion,1
53,30,Deletion,1
53,30,Stop gain/loss,3
53,30,DBS,1
53,30,Splice,3
54,30,Missense,32
54,30,Insertion,0
54,30,Deletion,1
54,30,Stop gain/loss,2
54,30,DBS,1
54,30,Splice,0
55,30,Missense,37
55,30,Insertion,0
55,30,Deletion,1
55,30,Stop gain/loss,3
55,30,DBS,0
55,30,Splice,1
56,30,Missense,27
56,30,Insertion,0
56,30,Deletion,5
56,30,Stop gain/loss,6
56,30,DBS,1
56,30,Splice,0
57,30,Missense,61
57,30,Insertion,1
57,30,Deletion,4
57,30,Stop gain/loss,4
57,30,DBS,11
57,30,Splice,2
58,30,Missense,37
58,30,Insertion,0
58,30,Deletion,1
58,30,Stop gain/loss,3
58,30,DBS,0
58,30,Splice,2
59,30,Missense,37
59,30,Insertion,1
59,30,Deletion,0
59,30,Stop gain/loss,5
59,30,DBS,1
59,30,Splice,1
60,30,Missense,34
60,30,Insertion,1
60,30,Deletion,1
60,30,Stop gain/loss,4
60,30,DBS,0
60,30,Splice,1
61,30,Missense,36
61,30,Insertion,1
61,30,Deletion,3
61,30,Stop gain/loss,5
61,30,DBS,0
61,30,Splice,1
62,30,Missense,33
62,30,Insertion,0
62,30,Deletion,0
62,30,Stop gain/loss,2
62,30,DBS,0
62,30,Splice,2
63,30,Missense,33
63,30,Insertion,0
63,30,Deletion,1
63,30,Stop gain/loss,3
63,30,DBS,2
63,30,Splice,0
64,30,Missense,32
64,30,Insertion,0
64,30,Deletion,3
64,30,Stop gain/loss,1
64,30,DBS,0
64,30,Splice,1
65,30,Missense,35
65,30,Insertion,0
65,30,Deletion,0
65,30,Stop gain/loss,4
65,30,DBS,0
65,30,Splice,3
66,30,Missense,39
66,30,Insertion,2
66,30,Deletion,1
66,30,Stop gain/loss,2
66,30,DBS,0
66,30,Splice,1
67,30,Missense,37
67,30,Insertion,1
67,30,Deletion,0
67,30,Stop gain/loss,4
67,30,DBS,0
67,30,Splice,0
68,30,Missense,38
68,30,Insertion,0
68,30,Deletion,6
68,30,Stop gain/loss,8
68,30,DBS,0
68,30,Splice,1
69,30,Missense,47
69,30,Insertion,0
69,30,Deletion,3
69,30,Stop gain/loss,6
69,30,DBS,0
69,30,Splice,2
70,30,Missense,47
70,30,Insertion,1
70,30,Deletion,3
70,30,Stop gain/loss,2
70,30,DBS,0
70,30,Splice,2
71,30,Missense,42
71,30,Insertion,1
71,30,Deletion,0
71,30,Stop gain/loss,8
71,30,DBS,0
71,30,Splice,1
72,30,Missense,35
72,30,Insertion,0
72,30,Deletion,5
72,30,Stop gain/loss,2
72,30,DBS,0
72,30,Splice,1
73,30,Missense,46
73,30,Insertion,0
73,30,Deletion,1
73,30,Stop gain/loss,4
73,30,DBS,2
73,30,Splice,1
74,30,Missense,53
74,30,Insertion,0
74,30,Deletion,2
74,30,Stop gain/loss,6
74,30,DBS,2
74,30,Splice,1
75,30,Missense,34
75,30,Insertion,0
75,30,Deletion,0
75,30,Stop gain/loss,2
75,30,DBS,0
75,30,Splice,2
76,30,Missense,31
76,30,Insertion,0
76,30,Deletion,0
76,30,Stop gain/loss,3
76,30,DBS,1
76,30,Splice,2
77,30,Missense,43
77,30,Insertion,0
77,30,Deletion,5
77,30,Stop gain/loss,4
77,30,DBS,0
77,30,Splice,13
78,30,Missense,29
78,30,Insertion,0
78,30,Deletion,4
78,30,Stop gain/loss,4
78,30,DBS,0
78,30,Splice,1
79,30,Missense,34
79,30,Insertion,0
79,30,Deletion,2
79,30,Stop gain/loss,2
79,30,DBS,1
79,30,Splice,1
80,30,Missense,33
80,30,Insertion,1
80,30,Deletion,1
80,30,Stop gain/loss,3
80,30,DBS,1
80,30,Splice,2
81,30,Missense,34
81,30,Insertion,2
81,30,Deletion,1
81,30,Stop gain/loss,2
81,30,DBS,1
81,30,Splice,0
82,30,Missense,34
82,30,Insertion,1
82,30,Deletion,2
82,30,Stop gain/loss,5
82,30,DBS,3
82,30,Splice,3
83,30,Missense,33
83,30,Insertion,0
83,30,Deletion,0
83,30,Stop gain/loss,3
83,30,DBS,2
83,30,Splice,0
84,30,Missense,44
84,30,Insertion,0
84,30,Deletion,4
84,30,Stop gain/loss,5
84,30,DBS,0
84,30,Splice,0
85,30,Missense,35
85,30,Insertion,1
85,30,Deletion,4
85,30,Stop gain/loss,5
85,30,DBS,2
85,30,Splice,2
86,30,Missense,40
86,30,Insertion,1
86,30,Deletion,1
86,30,Stop gain/loss,4
86,30,DBS,3
86,30,Splice,0
87,30,Missense,40
87,30,Insertion,0
87,30,Deletion,2
87,30,Stop gain/loss,3
87,30,DBS,5
87,30,Splice,2
88,30,Missense,72
88,30,Insertion,1
88,30,Deletion,2
88,30,Stop gain/loss,5
88,30,DBS,0
88,30,Splice,0
89,30,Missense,41
89,30,Insertion,0
89,30,Deletion,0
89,30,Stop gain/loss,2
89,30,DBS,0
89,30,Splice,0
90,30,Missense,34
90,30,Insertion,0
90,30,Deletion,1
90,30,Stop gain/loss,3
90,30,DBS,0
90,30,Splice,1
91,30,Missense,34
91,30,Insertion,1
91,30,Deletion,3
91,30,Stop gain/loss,6
91,30,DBS,0
91,30,Splice,0
92,30,Missense,48
92,30,Insertion,1
92,30,Deletion,7
92,30,Stop gain/loss,3
92,30,DBS,1
92,30,Splice,2
93,30,Missense,33
93,30,Insertion,0
93,30,Deletion,0
93,30,Stop gain/loss,3
93,30,DBS,0
93,30,Splice,1
94,30,Missense,29
94,30,Insertion,0
94,30,Deletion,1
94,30,Stop gain/loss,2
94,30,DBS,0
94,30,Splice,0
95,30,Missense,60
95,30,Insertion,4
95,30,Deletion,49
95,30,Stop gain/loss,2
95,30,DBS,1
95,30,Splice,1
96,30,Missense,32
96,30,Insertion,1
96,30,Deletion,0
96,30,Stop gain/loss,3
96,30,DBS,1
96,30,Splice,4
97,30,Missense,34
97,30,Insertion,0
97,30,Deletion,7
97,30,Stop gain/loss,2
97,30,DBS,1
97,30,Splice,2
98,30,Missense,44
98,30,Insertion,0
98,30,Deletion,28
98,30,Stop gain/loss,1
98,30,DBS,1
98,30,Splice,1
99,30,Missense,48
99,30,Insertion,0
99,30,Deletion,3
99,30,Stop gain/loss,4
99,30,DBS,1
99,30,Splice,0
100,30,Missense,45
100,30,Insertion,0
100,30,Deletion,0
100,30,Stop gain/loss,3
100,30,DBS,0
100,30,Splice,1
101,30,Missense,42
101,30,Insertion,0
101,30,Deletion,2
101,30,Stop gain/loss,4
101,30,DBS,0
101,30,Splice,1
102,30,Missense,34
102,30,Insertion,0
102,30,Deletion,4
102,30,Stop gain/loss,3
102,30,DBS,1
102,30,Splice,2
103,30,Missense,38
103,30,Insertion,2
103,30,Deletion,1
103,30,Stop gain/loss,1
103,30,DBS,0
103,30,Splice,6
104,30,Missense,40
104,30,Insertion,1
104,30,Deletion,1
104,30,Stop gain/loss,1
104,30,DBS,0
104,30,Splice,3
105,30,Missense,49
105,30,Insertion,0
105,30,Deletion,2
105,30,Stop gain/loss,2
105,30,DBS,8
105,30,Splice,2
106,30,Missense,31
106,30,Insertion,0
106,30,Deletion,0
106,30,Stop gain/loss,2
106,30,DBS,2
106,30,Splice,1
107,30,Missense,37
107,30,Insertion,0
107,30,Deletion,1
107,30,Stop gain/loss,2
107,30,DBS,2
107,30,Splice,1
108,30,Missense,31
108,30,Insertion,0
108,30,Deletion,0
108,30,Stop gain/loss,6
108,30,DBS,0
108,30,Splice,4
109,30,Missense,32
109,30,Insertion,0
109,30,Deletion,3
109,30,Stop gain/loss,2
109,30,DBS,2
109,30,Splice,0
110,30,Missense,30
110,30,Insertion,1
110,30,Deletion,7
110,30,Stop gain/loss,2
110,30,DBS,0
110,30,Splice,1
111,30,Missense,30
111,30,Insertion,4
111,30,Deletion,2
111,30,Stop gain/loss,3
111,30,DBS,1
111,30,Splice,0
112,30,Missense,61
112,30,Insertion,0
112,30,Deletion,34
112,30,Stop gain/loss,2
112,30,DBS,4
112,30,Splice,2
113,30,Missense,35
113,30,Insertion,0
113,30,Deletion,0
113,30,Stop gain/loss,5
113,30,DBS,0
113,30,Splice,1
114,30,Missense,65
114,30,Insertion,0
114,30,Deletion,3
114,30,Stop gain/loss,3
114,30,DBS,2
114,30,Splice,1
115,30,Missense,40
115,30,Insertion,4
115,30,Deletion,10
115,30,Stop gain/loss,3
115,30,DBS,2
115,30,Splice,2
116,30,Missense,39
116,30,Insertion,0
116,30,Deletion,2
116,30,Stop gain/loss,3
116,30,DBS,6
116,30,Splice,3
117,30,Missense,30
117,30,Insertion,0
117,30,Deletion,1
117,30,Stop gain/loss,5
117,30,DBS,0
117,30,Splice,0
118,30,Missense,89
118,30,Insertion,0
118,30,Deletion,18
118,30,Stop gain/loss,7
118,30,DBS,4
118,30,Splice,1
119,30,Missense,24
119,30,Insertion,1
119,30,Deletion,6
119,30,Stop gain/loss,10
119,30,DBS,2
119,30,Splice,1
120,30,Missense,34
120,30,Insertion,2
120,30,Deletion,7
120,30,Stop gain/loss,6
120,30,DBS,0
120,30,Splice,3
121,30,Missense,88
121,30,Insertion,0
121,30,Deletion,2
121,30,Stop gain/loss,2
121,30,DBS,2
121,30,Splice,0
122,30,Missense,61
122,30,Insertion,1
122,30,Deletion,33
122,30,Stop gain/loss,8
122,30,DBS,3
122,30,Splice,1
123,30,Missense,59
123,30,Insertion,0
123,30,Deletion,4
123,30,Stop gain/loss,3
123,30,DBS,3
123,30,Splice,0
124,30,Missense,35
124,30,Insertion,0
124,30,Deletion,0
124,30,Stop gain/loss,4
124,30,DBS,0
124,30,Splice,0
125,30,Missense,37
125,30,Insertion,0
125,30,Deletion,0
125,30,Stop gain/loss,2
125,30,DBS,5
125,30,Splice,1
126,30,Missense,38
126,30,Insertion,2
126,30,Deletion,6
126,30,Stop gain/loss,3
126,30,DBS,0
126,30,Splice,1
127,30,Missense,35
127,30,Insertion,0
127,30,Deletion,1
127,30,Stop gain/loss,2
127,30,DBS,1
127,30,Splice,2
128,30,Missense,31
128,30,Insertion,0
128,30,Deletion,2
128,30,Stop gain/loss,4
128,30,DBS,3
128,30,Splice,3
129,30,Missense,29
129,30,Insertion,0
129,30,Deletion,4
129,30,Stop gain/loss,3
129,30,DBS,2
129,30,Splice,3
130,30,Missense,37
130,30,Insertion,0
130,30,Deletion,2
130,30,Stop gain/loss,3
130,30,DBS,1
130,30,Splice,0
131,30,Missense,31
131,30,Insertion,1
131,30,Deletion,4
131,30,Stop gain/loss,0
131,30,DBS,1
131,30,Splice,1
132,30,Missense,43
132,30,Insertion,0
132,30,Deletion,2
132,30,Stop gain/loss,8
132,30,DBS,5
132,30,Splice,3
133,30,Missense,44
133,30,Insertion,0
133,30,Deletion,1
133,30,Stop gain/loss,2
133,30,DBS,1
133,30,Splice,1
134,30,Missense,41
134,30,Insertion,0
134,30,Deletion,3
134,30,Stop gain/loss,2
134,30,DBS,1
134,30,Splice,0
135,30,Missense,39
135,30,Insertion,0
135,30,Deletion,1
135,30,Stop gain/loss,2
135,30,DBS,1
135,30,Splice,0
136,30,Missense,33
136,30,Insertion,1
136,30,Deletion,2
136,30,Stop gain/loss,3
136,30,DBS,0
136,30,Splice,2
137,30,Missense,40
137,30,Insertion,0
137,30,Deletion,0
137,30,Stop gain/loss,4
137,30,DBS,1
137,30,Splice,1
138,30,Missense,30
138,30,Insertion,0
138,30,Deletion,2
138,30,Stop gain/loss,3
138,30,DBS,2
138,30,Splice,1
139,30,Missense,27
139,30,Insertion,0
139,30,Deletion,1
139,30,Stop gain/loss,6
139,30,DBS,0
139,30,Splice,0
140,30,Missense,36
140,30,Insertion,1
140,30,Deletion,0
140,30,Stop gain/loss,5
140,30,DBS,0
140,30,Splice,2
141,30,Missense,30
141,30,Insertion,1
141,30,Deletion,0
141,30,Stop gain/loss,2
141,30,DBS,0
141,30,Splice,2
142,30,Missense,43
142,30,Insertion,0
142,30,Deletion,0
142,30,Stop gain/loss,3
142,30,DBS,0
142,30,Splice,2
143,30,Missense,35
143,30,Insertion,0
143,30,Deletion,0
143,30,Stop gain/loss,5
143,30,DBS,0
143,30,Splice,3
144,30,Missense,38
144,30,Insertion,0
144,30,Deletion,2
144,30,Stop gain/loss,5
144,30,DBS,0
144,30,Splice,2
145,30,Missense,40
145,30,Insertion,0
145,30,Deletion,2
145,30,Stop gain/loss,1
145,30,DBS,1
145,30,Splice,0
146,30,Missense,36
146,30,Insertion,2
146,30,Deletion,0
146,30,Stop gain/loss,1
146,30,DBS,2
146,30,Splice,1
147,30,Missense,50
147,30,Insertion,1
147,30,Deletion,2
147,30,Stop gain/loss,3
147,30,DBS,0
147,30,Splice,3
148,30,Missense,38
148,30,Insertion,1
148,30,Deletion,2
148,30,Stop gain/loss,3
148,30,DBS,1
148,30,Splice,0
149,30,Missense,37
149,30,Insertion,0
149,30,Deletion,0
149,30,Stop gain/loss,1
149,30,DBS,1
149,30,Splice,1
150,30,Missense,43
150,30,Insertion,4
150,30,Deletion,49
150,30,Stop gain/loss,3
150,30,DBS,2
150,30,Splice,0
151,30,Missense,36
151,30,Insertion,0
151,30,Deletion,3
151,30,Stop gain/loss,4
151,30,DBS,0
151,30,Splice,1
152,30,Missense,33
152,30,Insertion,1
152,30,Deletion,1
152,30,Stop gain/loss,3
152,30,DBS,2
152,30,Splice,0
153,30,Missense,35
153,30,Insertion,0
153,30,Deletion,1
153,30,Stop gain/loss,6
153,30,DBS,0
153,30,Splice,0
154,30,Missense,51
154,30,Insertion,0
154,30,Deletion,1
154,30,Stop gain/loss,2
154,30,DBS,0
154,30,Splice,13
155,30,Missense,31
155,30,Insertion,0
155,30,Deletion,2
155,30,Stop gain/loss,4
155,30,DBS,1
155,30,Splice,2
156,30,Missense,26
156,30,Insertion,0
156,30,Deletion,0
156,30,Stop gain/loss,3
156,30,DBS,2
156,30,Splice,3
157,30,Missense,57
157,30,Insertion,0
157,30,Deletion,3
157,30,Stop gain/loss,5
157,30,DBS,2
157,30,Splice,8
158,30,Missense,37
158,30,Insertion,2
158,30,Deletion,3
158,30,Stop gain/loss,5
158,30,DBS,1
158,30,Splice,0
159,30,Missense,37
159,30,Insertion,1
159,30,Deletion,3
159,30,Stop gain/loss,3
159,30,DBS,1
159,30,Splice,0
160,30,Missense,38
160,30,Insertion,1
160,30,Deletion,1
160,30,Stop gain/loss,5
160,30,DBS,1
160,30,Splice,2
161,30,Missense,41
161,30,Insertion,0
161,30,Deletion,1
161,30,Stop gain/loss,0
161,30,DBS,1
161,30,Splice,0
162,30,Missense,41
162,30,Insertion,0
162,30,Deletion,6
162,30,Stop gain/loss,2
162,30,DBS,1
162,30,Splice,0
163,30,Missense,30
163,30,Insertion,0
163,30,Deletion,3
163,30,Stop gain/loss,5
163,30,DBS,0
163,30,Splice,0
164,30,Missense,34
164,30,Insertion,1
164,30,Deletion,6
164,30,Stop gain/loss,3
164,30,DBS,2
164,30,Splice,3
165,30,Missense,38
165,30,Insertion,0
165,30,Deletion,0
165,30,Stop gain/loss,2
165,30,DBS,0
165,30,Splice,2
166,30,Missense,44
166,30,Insertion,1
166,30,Deletion,0
166,30,Stop gain/loss,1
166,30,DBS,0
166,30,Splice,3
167,30,Missense,37
167,30,Insertion,0
167,30,Deletion,4
167,30,Stop gain/loss,0
167,30,DBS,0
167,30,Splice,4
168,30,Missense,31
168,30,Insertion,1
168,30,Deletion,0
168,30,Stop gain/loss,5
168,30,DBS,0
168,30,Splice,1
169,30,Missense,39
169,30,Insertion,1
169,30,Deletion,0
169,30,Stop gain/loss,2
169,30,DBS,1
169,30,Splice,0
170,30,Missense,37
170,30,Insertion,0
170,30,Deletion,2
170,30,Stop gain/loss,5
170,30,DBS,1
170,30,Splice,1
171,30,Missense,31
171,30,Insertion,1
171,30,Deletion,0
171,30,Stop gain/loss,5
171,30,DBS,0
171,30,Splice,2
172,30,Missense,32
172,30,Insertion,0
172,30,Deletion,0
172,30,Stop gain/loss,5
172,30,DBS,1
172,30,Splice,4
173,30,Missense,35
173,30,Insertion,0
173,30,Deletion,1
173,30,Stop gain/loss,5
173,30,DBS,3
173,30,Splice,2
174,30,Missense,43
174,30,Insertion,0
174,30,Deletion,0
174,30,Stop gain/loss,4
174,30,DBS,1
174,30,Splice,1
175,30,Missense,44
175,30,Insertion,1
175,30,Deletion,28
175,30,Stop gain/loss,5
175,30,DBS,0
175,30,Splice,1
176,30,Missense,38
176,30,Insertion,1
176,30,Deletion,1
176,30,Stop gain/loss,4
176,30,DBS,0
176,30,Splice,5
177,30,Missense,28
177,30,Insertion,1
177,30,Deletion,1
177,30,Stop gain/loss,3
177,30,DBS,1
177,30,Splice,3
178,30,Missense,36
178,30,Insertion,0
178,30,Deletion,5
178,30,Stop gain/loss,2
178,30,DBS,1
178,30,Splice,2
179,30,Missense,31
179,30,Insertion,0
179,30,Deletion,3
179,30,Stop gain/loss,2
179,30,DBS,0
179,30,Splice,2
180,30,Missense,33
180,30,Insertion,0
180,30,Deletion,2
180,30,Stop gain/loss,7
180,30,DBS,3
180,30,Splice,1
181,30,Missense,48
181,30,Insertion,1
181,30,Deletion,1
181,30,Stop gain/loss,4
181,30,DBS,0
181,30,Splice,3
182,30,Missense,28
182,30,Insertion,0
182,30,Deletion,0
182,30,Stop gain/loss,5
182,30,DBS,3
182,30,Splice,3
183,30,Missense,52
183,30,Insertion,2
183,30,Deletion,6
183,30,Stop gain/loss,2
183,30,DBS,0
183,30,Splice,1
184,30,Missense,46
184,30,Insertion,1
184,30,Deletion,15
184,30,Stop gain/loss,4
184,30,DBS,1
184,30,Splice,3
185,30,Missense,65
185,30,Insertion,0
185,30,Deletion,2
185,30,Stop gain/loss,8
185,30,DBS,3
185,30,Splice,2
186,30,Missense,37
186,30,Insertion,0
186,30,Deletion,6
186,30,Stop gain/loss,3
186,30,DBS,2
186,30,Splice,1
187,30,Missense,34
187,30,Insertion,1
187,30,Deletion,4
187,30,Stop gain/loss,5
187,30,DBS,0
187,30,Splice,1
188,30,Missense,32
188,30,Insertion,0
188,30,Deletion,1
188,30,Stop gain/loss,8
188,30,DBS,0
188,30,Splice,1
189,30,Missense,34
189,30,Insertion,1
189,30,Deletion,3
189,30,Stop gain/loss,5
189,30,DBS,0
189,30,Splice,1
190,30,Missense,30
190,30,Insertion,0
190,30,Deletion,6
190,30,Stop gain/loss,7
190,30,DBS,1
190,30,Splice,2
191,30,Missense,35
191,30,Insertion,0
191,30,Deletion,0
191,30,Stop gain/loss,2
191,30,DBS,1
191,30,Splice,3
192,30,Missense,38
192,30,Insertion,1
192,30,Deletion,2
192,30,Stop gain/loss,6
192,30,DBS,0
192,30,Splice,5
193,30,Missense,47
193,30,Insertion,0
193,30,Deletion,32
193,30,Stop gain/loss,8
193,30,DBS,5
193,30,Splice,2
194,30,Missense,32
194,30,Insertion,0
194,30,Deletion,2
194,30,Stop gain/loss,5
194,30,DBS,0
194,30,Splice,3
195,30,Missense,39
195,30,Insertion,0
195,30,Deletion,1
195,30,Stop gain/loss,4
195,30,DBS,2
195,30,Splice,2
196,30,Missense,45
196,30,Insertion,0
196,30,Deletion,0
196,30,Stop gain/loss,4
196,30,DBS,2
196,30,Splice,2
197,30,Missense,41
197,30,Insertion,0
197,30,Deletion,1
197,30,Stop gain/loss,3
197,30,DBS,3
197,30,Splice,1
198,30,Missense,42
198,30,Insertion,0
198,30,Deletion,1
198,30,Stop gain/loss,1
198,30,DBS,0
198,30,Splice,1
199,30,Missense,33
199,30,Insertion,0
199,30,Deletion,1
199,30,Stop gain/loss,3
199,30,DBS,0
199,30,Splice,1
200,30,Missense,40
200,30,Insertion,0
200,30,Deletion,0
200,30,Stop gain/loss,0
200,30,DBS,0
200,30,Splice,0
201,30,Missense,28
201,30,Insertion,3
201,30,Deletion,5
201,30,Stop gain/loss,0
201,30,DBS,0
201,30,Splice,0
202,30,Missense,38
202,30,Insertion,0
202,30,Deletion,0
202,30,Stop gain/loss,3
202,30,DBS,0
202,30,Splice,1
203,30,Missense,28
203,30,Insertion,0
203,30,Deletion,3
203,30,Stop gain/loss,3
203,30,DBS,0
203,30,Splice,1
204,30,Missense,29
204,30,Insertion,0
204,30,Deletion,8
204,30,Stop gain/loss,5
204,30,DBS,2
204,30,Splice,3
205,30,Missense,29
205,30,Insertion,0
205,30,Deletion,3
205,30,Stop gain/loss,7
205,30,DBS,0
205,30,Splice,3
206,30,Missense,64
206,30,Insertion,1
206,30,Deletion,8
206,30,Stop gain/loss,6
206,30,DBS,0
206,30,Splice,5
207,30,Missense,32
207,30,Insertion,0
207,30,Deletion,2
207,30,Stop gain/loss,2
207,30,DBS,0
207,30,Splice,1
208,30,Missense,31
208,30,Insertion,1
208,30,Deletion,10
208,30,Stop gain/loss,5
208,30,DBS,0
208,30,Splice,1
209,30,Missense,38
